Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Left_middle_finger.BMP,0.75,M1 CLAHE baseline,0.0725857315226254,11.39148741972173,0.47634848786720146,0.46173688769340515,1.6666666666666667,0.028595999989192933,124,45
100__M_Left_middle_finger.BMP,0.75,M1 Wiener + CLAHE,0.05241862844246524,12.80514346755724,0.5609416446584276,0.6651174426078796,3.3333333333333335,0.015526700008194894,124,45
100__M_Left_middle_finger.BMP,0.75,Gabor,0.08822468877334802,10.544098650082992,0.3745170202725528,0.4793400168418884,0.3333333333333333,0.8774423999711871,124,45
100__M_Left_middle_finger.BMP,0.75,Hybrid,0.052782681238265045,12.77508552399276,0.5222300264879796,0.6621882915496826,2.3333333333333335,0.8692280999966897,124,45
100__M_Left_ring_finger.BMP,0.35,Degraded input,0.015466220776917025,18.106157946550315,0.7298089802646358,0.7240442037582397,36.666666666666664,0.0,115,42
100__M_Left_ring_finger.BMP,0.35,Global HE baseline,0.012162130878583793,19.149903273876703,0.750037063693976,0.7232232689857483,36.333333333333336,0.0033411000040359795,115,42
100__M_Left_ring_finger.BMP,0.35,M1 CLAHE baseline,0.05193886497475818,12.845075452840241,0.6810037148653735,0.6962262988090515,9.666666666666666,0.007098799978848547,115,42
100__M_Left_ring_finger.BMP,0.35,M1 Wiener + CLAHE,0.03732878456910531,14.27956150537776,0.7141147446090063,0.7443675994873047,5.333333333333333,0.01280560001032427,115,42
100__M_Left_ring_finger.BMP,0.35,Gabor,0.06462149018310519,11.896230312945814,0.5784912199853237,0.6939588785171509,3.0,0.9104587000329047,115,42
100__M_Left_ring_finger.BMP,0.35,Hybrid,0.03834488909936051,14.162925139539508,0.6834457941601495,0.7420387864112854,4.666666666666667,0.8728965000482276,115,42
100__M_Left_thumb_finger.BMP,0.55,Degraded input,0.02941291993819025,15.314618592026854,0.5651442030550434,0.5539150834083557,11.0,0.0,199,69
100__M_Left_thumb_finger.BMP,0.55,Global HE baseline,0.02248025184654601,16.481988276691443,0.6791715581591157,0.5630983114242554,12.666666666666666,0.0033552999957464635,199,69
100__M_Left_thumb_finger.BMP,0.55,M1 CLAHE baseline,0.06636002334473784,11.780934698675527,0.6468377363153061,0.5647563338279724,4.666666666666667,0.0069565000012516975,199,69
100__M_Left_thumb_finger.BMP,0.55,M1 Wiener + CLAHE,0.05003321771854653,13.00741566025798,0.6851623855864438,0.6229187846183777,3.3333333333333335,0.010846999997738749,199,69
100__M_Left_thumb_finger.BMP,0.55,Gabor,0.0899436486078485,10.46029499043868,0.5043219000902546,0.5673123002052307,1.3333333333333333,0.9300910000456497,199,69
100__M_Left_thumb_finger.BMP,0.55,Hybrid,0.05843723333249468,12.33310353601423,0.6335211074422501,0.6167593598365784,3.0,0.9357485999935307,199,69
