image,candidate,member,parameters_json,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
337__F_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.1670497656429,0.0019199725669341115,0.8783707026723028,0.002620509564576852,25.81614250830547,0.8716410585264116,0.6573538780212402,0.21682208776474,4.907074687995054,24.05,0.3949127197265625,-1.350907257337429,0.0007005369976427404,-0.006729644145891167,2.581475099956151
74__F_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.081354535094363,0.001958233818376267,0.8777061184492111,0.002486843084810518,26.043516170424326,0.8730634179504811,0.6555801033973694,0.20617370307445526,5.627071610267478,18.886297376093296,0.395904541015625,-1.037838364670037,0.0005286092664342507,-0.004642700498729946,1.382615300011821
296__M_Left_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.391662357015832,0.0018231976999867365,0.8645058621141016,0.002542694290706289,25.947058521091417,0.8589318391293957,0.645983099937439,0.2146335393190384,6.152822815332169,17.696969696969695,0.367034912109375,-1.4446038359244149,0.0007194965907195527,-0.005574022984705884,1.2828755000373349
103__F_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.088767679458144,0.0019548940827578748,0.8772183270350099,0.0024409033710616796,26.124494128176924,0.8723621681867316,0.6357099413871765,0.20149369537830353,8.090740167234438,15.249427917620137,0.3941650390625,-0.9642735512812202,0.0004860092883038048,-0.00485615884827828,4.25457439996535
355__M_Right_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.07127176320906,0.0019627854217751043,0.9183189378033877,0.00281094045444288,25.51148354172276,0.9085350027950108,0.7250736951828003,0.22052791714668274,3.1457064453517165,36.776649746192895,0.455963134765625,-1.5597882214863006,0.0008481550326677758,-0.009783935008376932,3.8110676999785937
86__M_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.582988301158558,0.0017446212977138959,0.8206633272415698,0.002631267561063904,25.798349883318195,0.8105821337192133,0.6001803278923035,0.1801624298095703,2.182700080840744,47.778625954198475,0.37750244140625,-1.7846384178403625,0.0008866462633500083,-0.01008119352235648,3.9398888000287116
576__M_Left_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.250599018190513,0.0018833892975043372,0.8615081280892491,0.0022648599066463645,26.44958656190702,0.8580072240241989,0.5546420812606812,0.1981145441532135,11.768349334159181,9.894736842105264,0.3448944091796875,-0.8010124562834946,0.00038147060914202726,-0.0035009040650502143,3.878163499990478
537__M_Right_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.160549724632475,0.0019228483217214737,0.8889713668987751,0.002334760863864232,26.317575951075767,0.8844371091566682,0.6584713459014893,0.20815786719322205,3.9280236429613553,25.39144736842105,0.4078826904296875,-0.8429737735567073,0.00041191254214275816,-0.0045342577421069175,3.7980385000118986
34__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.38889028602457,0.0018243618056768378,0.852031355201602,0.0035915383637386473,24.447194902021387,0.8360224701501764,0.6302221417427063,0.17855001986026764,2.9673590504451037,35.42424242424242,0.401092529296875,-2.9416953840031823,0.0017671765580618095,-0.016008885051425614,4.218780900002457
12__M_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.200596265626643,0.001905199125245581,0.8736786578543186,0.003579654972386737,24.461588311241993,0.8566854862451777,0.636336624622345,0.17928269505500793,2.3099612637265006,38.87735849056604,0.4293670654296875,-2.7390079543846504,0.0016744558471411559,-0.016993171609140933,3.9343065999564715
379__F_Left_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.29697459443381,0.001863384765742222,0.8307089306706786,0.0027388358329812085,25.624339987672546,0.8259073232906387,0.5261716842651367,0.17665322124958038,7.596961215513795,15.364583333333334,0.3434600830078125,-1.6726346067612639,0.0008754510672389865,-0.004801607380039985,5.142047900008038
216__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.409242552997565,0.001815832331964324,0.8339104979358911,0.0033383578066453175,24.764671172901505,0.8161348410386517,0.589241623878479,0.16020384430885315,1.8940858136838035,32.44094488188976,0.394744873046875,-2.6445713800960604,0.0015225254746809936,-0.017775656897239367,4.287658799963538
