image,method,stages,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
506__M_Right_ring_finger.BMP,M1 NLM,NLM,27.395784631250596,0.0018214679623487747,0.8722582732038497,0.0012099224335680569,29.17242470801859,0.9402706100854874,0.6540656089782715,0.2131301909685135,0.9520894964126628,35.105555555555554,0.4487457275390625,1.7766400767679933,-0.0006115455287807178,0.06801233688163766,0.30956500000320375
559__M_Right_index_finger.BMP,M1 NLM,NLM,27.192835645833707,0.001908606662071044,0.8851221825720071,0.0012119678842882522,29.165088883060292,0.943036772002697,0.7465382218360901,0.22140048444271088,4.60995750821775,19.131086142322097,0.380645751953125,1.9722532372265853,-0.0006966387777827918,0.05791458943068983,0.3407090999535285
52__M_Right_little_finger.BMP,M1 NLM,NLM,26.879822313048408,0.0020512461016534865,0.7911558452983201,0.0010710156453834444,29.70204184953328,0.8947996259739399,0.7283799648284912,0.11555924266576767,4.660548695526835,25.25423728813559,0.3175811767578125,2.822219536484873,-0.000980230456270042,0.10364378067561986,0.43179220001911744
384__F_Left_middle_finger.BMP,M1 NLM,NLM,27.13703414382276,0.0019332881351077943,0.8732754213032723,0.001301739844211605,28.85475801875865,0.9398225353173018,0.7276120185852051,0.20334039628505707,5.32520325203252,14.344827586206897,0.3753662109375,1.7177238749358885,-0.0006315482908961893,0.06654711401402946,0.3525369000271894
410__M_Right_ring_finger.BMP,M1 NLM,NLM,27.172578282168498,0.001917530019942655,0.8590272322995662,0.0011225046884880267,29.49811836355618,0.9579557737402916,0.7091429233551025,0.18032005429267883,2.085661080074488,28.133333333333333,0.409698486328125,2.3255400813876825,-0.0007950253314546283,0.09892854144072538,0.3202064999495633
337__F_Right_index_finger.BMP,M1 NLM,NLM,27.1670497656429,0.0019199725669341115,0.8783707026723028,0.0011650485580205349,29.336559733153088,0.9416631669684649,0.7716083526611328,0.2183550000190735,2.7178073801868017,29.956521739130434,0.39862060546875,2.169509967510187,-0.0007549240089135766,0.06329246429616209,0.24526629998581484
74__F_Right_ring_finger.BMP,M1 NLM,NLM,27.081354535094363,0.001958233818376267,0.8777061184492111,0.0011859181901276393,29.259452694891227,0.9425398794054985,0.7715463638305664,0.20576699078083038,3.935202873080156,23.674418604651162,0.399383544921875,2.178098159796864,-0.0007723156282486278,0.06483376095628746,0.25993979995837435
296__M_Left_index_finger.BMP,M1 NLM,NLM,27.391662357015832,0.0018231976999867365,0.8645058621141016,0.0011195387681916036,29.50960862763678,0.9346882731040717,0.7839668393135071,0.21700423955917358,2.6648900732844774,25.404761904761905,0.366455078125,2.1179462706209478,-0.0007036589317951328,0.07018241098997002,0.2898393999785185
103__F_Left_middle_finger.BMP,M1 NLM,NLM,27.088767679458144,0.0019548940827578748,0.8772183270350099,0.0012229678935571895,29.125849442997527,0.9420784347062111,0.7574590444564819,0.19934289157390594,3.7775941447290755,23.157692307692308,0.3877716064453125,2.0370817635393834,-0.0007319261892006852,0.0648601076712012,0.33644270000513643
355__M_Right_middle_finger.BMP,M1 NLM,NLM,27.07127176320906,0.0019627854217751043,0.9183189378033877,0.0011835779292511445,29.26803141934697,0.9491079135067463,0.833048403263092,0.22452911734580994,1.085562025066614,67.17708333333333,0.4638519287109375,2.196759656137907,-0.0007792074925239598,0.03078897570335859,0.26117519999388605
86__M_Right_index_finger.BMP,M1 NLM,NLM,27.582988301158558,0.0017446212977138959,0.8206633272415698,0.0010230729506769535,29.900933976203202,0.9343826778972149,0.73165363073349,0.17947588860988617,0.766994994348458,76.95161290322581,0.38342594455709134,2.317945675044644,-0.0007215483470369424,0.11371935065564509,0.24084270000457764
576__M_Left_little_finger.BMP,M1 NLM,NLM,27.250599018190513,0.0018833892975043372,0.8615081280892491,0.0012976274458087066,28.868499773767404,0.9335346113271713,0.6687930822372437,0.1964082419872284,8.75789099315373,11.738839285714286,0.343231201171875,1.6179007555768905,-0.0005857618516956307,0.07202648323792216,0.25218220002716407
537__M_Right_thumb_finger.BMP,M1 NLM,NLM,27.160549724632475,0.0019228483217214737,0.8889713668987751,0.0010720996383637514,29.697648504821622,0.9571953672060967,0.7694172263145447,0.21108664572238922,2.576655501159495,28.03187250996016,0.4145355224609375,2.5370987801891474,-0.0008507486833577223,0.06822400030732156,0.24660329998005182
34__M_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.38889028602457,0.0018243618056768378,0.852031355201602,0.002608100473116621,25.836756820813626,0.8429665175490305,0.6300843954086304,0.18353182077407837,2.831150201955381,36.214285714285715,0.4042205810546875,-1.552133465210943,0.0007837386674397831,-0.009064837652571489,3.892532200028654
12__M_Left_middle_finger.BMP,M2 Modified Gabor,Gabor,27.200596265626643,0.001905199125245581,0.8736786578543186,0.0026342193826785873,25.79348059017661,0.8645695586785004,0.6363347172737122,0.18358537554740906,2.1507651082434243,39.31428571428572,0.432769775390625,-1.407115675450033,0.0007290202574330063,-0.009109099175818258,4.296696899982635
379__F_Left_ring_finger.BMP,M2 Modified Gabor,Gabor,27.29697459443381,0.001863384765742222,0.8307089306706786,0.0022240733189657783,26.528508998699273,0.8280981829650477,0.5299926996231079,0.18061092495918274,7.414926954142207,15.468586387434556,0.3457183837890625,-0.7684655957345363,0.0003606885532235562,-0.002610747705630967,4.0866662000189535
216__M_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.409242552997565,0.001815832331964324,0.8339104979358911,0.002480096851658408,26.055313589643067,0.8239129257850498,0.5920898914337158,0.16441881656646729,1.8024236846142045,33.80408163265306,0.39788818359375,-1.3539289633544982,0.0006642645196940841,-0.009997572150841294,4.019028200011235
598__M_Right_little_finger.BMP,M2 Modified Gabor,Gabor,27.232376829257564,0.0018913082504083206,0.873195821332097,0.0024318574247425627,26.140618905270337,0.8689057392995357,0.6158202290534973,0.22318559885025024,7.002967359050445,14.534435261707989,0.3856658935546875,-1.0917579239872275,0.0005405491743342421,-0.004290082032561315,3.9686110999900848
241__M_Right_thumb_finger.BMP,M2 Modified Gabor,Gabor,27.683054149489543,0.0017048830187297685,0.8502431259251237,0.0026972926235914944,25.69071935298229,0.8215326326862127,0.6247069835662842,0.17006385326385498,1.445133112816725,41.89230769230769,0.4751434326171875,-1.9923347965072544,0.000992409604861726,-0.02871049323891106,4.140827400027774
318__F_Left_little_finger.BMP,M2 Modified Gabor,Gabor,27.680894438410597,0.001705731054009289,0.804882369456917,0.0021906154632647954,26.594338510285066,0.8036858983580619,0.5113991498947144,0.18371865153312683,10.307120807827134,10.94906166219839,0.2916412353515625,-1.0865559281255308,0.0004848844092555063,-0.001196471098855123,4.0929865000071
533__M_Left_thumb_finger.BMP,M2 Modified Gabor,Gabor,27.13216588011231,0.0019354564872124708,0.877849622436881,0.0022484156144686337,26.481234073436887,0.8743075828926191,0.6707494854927063,0.19424214959144592,6.720540941700338,18.169381107491855,0.370086669921875,-0.6509318066754233,0.0003129591272561629,-0.00354203954426191,4.027094000019133
352__M_Left_ring_finger.BMP,M2 Modified Gabor,Gabor,27.179633251246813,0.001914417585057521,0.8731976190728247,0.0024388766723724303,26.1281016026942,0.8690108382785022,0.635617733001709,0.21126559376716614,7.498525570814728,15.123359580052494,0.362213134765625,-1.0515316485526114,0.0005244590873149093,-0.004186780794322442,4.253395100007765
399__M_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.19164994656221,0.0019091278159366633,0.7421257503849864,0.0021419588179110707,26.691888833295167,0.7429477830313668,0.49627119302749634,0.12770822644233704,20.091848450057405,9.767106842737094,0.3189697265625,-0.499761113267045,0.00023283100197440737,0.0008220326463803662,3.9590918999747373
576__M_Left_middle_finger.BMP,M2 Modified Gabor,Gabor,26.928755659828724,0.002028263774235365,0.9142761199680268,0.0026943348581492128,25.695484301390003,0.9067992495107576,0.6642712354660034,0.21068744361400604,6.266526605571051,18.74137931034483,0.4212493896484375,-1.2332713584387207,0.0006660710839138479,-0.007476870457269191,4.055231700011063
506__M_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.395784631250596,0.0018214679623487747,0.8722582732038497,0.002398313464473953,26.200940543504714,0.8627271407838613,0.5545603036880493,0.21171213686466217,1.969796454366382,29.17872340425532,0.4415435791015625,-1.1948440877458815,0.0005768455021251781,-0.009531132419988486,3.9190070999902673
559__M_Right_index_finger.BMP,M2 Modified Gabor,Gabor,27.192835645833707,0.001908606662071044,0.8851221825720071,0.002495160945032256,26.02901435898285,0.8797719296425134,0.6422246098518372,0.2184787392616272,7.254261878853827,16.99056603773585,0.3786163330078125,-1.1638212868508582,0.0005865542829612122,-0.0053502529294937595,3.982449400005862
52__M_Right_little_finger.BMP,M2 Modified Gabor,Gabor,26.879822313048408,0.0020512461016534865,0.7911558452983201,0.0021868180513342126,26.60187349833305,0.7923157332047224,0.5141148567199707,0.13442718982696533,16.207663359562094,12.625,0.3568115234375,-0.2779488147153586,0.00013557194968072611,0.0011598879064023127,4.013960899959784
384__F_Left_middle_finger.BMP,M2 Modified Gabor,Gabor,27.13703414382276,0.0019332881351077943,0.8732754213032723,0.0023817565495664094,26.231026318470605,0.8700160693967268,0.6020262837409973,0.20404577255249023,9.019257333224994,12.256916996047432,0.375579833984375,-0.9060078253521553,0.00044846841445861504,-0.0032593519065454712,3.8407135999877937
410__M_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.172578282168498,0.001917530019942655,0.8590272322995662,0.0024289262532400115,26.145856709903114,0.8537606020102203,0.5967643857002258,0.1827886998653412,2.615816210478429,25.976109215017065,0.402496337890625,-1.0267215722653837,0.0005113962332973566,-0.0052666302893459305,4.0920286000473425
337__F_Right_index_finger.BMP,M2 Modified Gabor,Gabor,27.1670497656429,0.0019199725669341115,0.8783707026723028,0.002620509564576852,25.81614250830547,0.8716410585264116,0.6573538780212402,0.21682208776474,4.907074687995054,24.05,0.3949127197265625,-1.350907257337429,0.0007005369976427404,-0.006729644145891167,4.049516499973834
74__F_Right_ring_finger.BMP,M2 Modified Gabor,Gabor,27.081354535094363,0.001958233818376267,0.8777061184492111,0.002486843084810518,26.043516170424326,0.8730634179504811,0.6555801033973694,0.20617370307445526,5.627071610267478,18.886297376093296,0.395904541015625,-1.037838364670037,0.0005286092664342507,-0.004642700498729946,4.101475100032985
296__M_Left_index_finger.BMP,M2 Modified Gabor,Gabor,27.391662357015832,0.0018231976999867365,0.8645058621141016,0.002542694290706289,25.947058521091417,0.8589318391293957,0.645983099937439,0.2146335393190384,6.152822815332169,17.696969696969695,0.367034912109375,-1.4446038359244149,0.0007194965907195527,-0.005574022984705884,4.671981899999082
103__F_Left_middle_finger.BMP,M2 Modified Gabor,Gabor,27.088767679458144,0.0019548940827578748,0.8772183270350099,0.0024409033710616796,26.124494128176924,0.8723621681867316,0.6357099413871765,0.20149369537830353,8.090740167234438,15.249427917620137,0.3941650390625,-0.9642735512812202,0.0004860092883038048,-0.00485615884827828,3.775043400004506
355__M_Right_middle_finger.BMP,M2 Modified Gabor,Gabor,27.07127176320906,0.0019627854217751043,0.9183189378033877,0.00281094045444288,25.51148354172276,0.9085350027950108,0.7250736951828003,0.22052791714668274,3.1457064453517165,36.776649746192895,0.455963134765625,-1.5597882214863006,0.0008481550326677758,-0.009783935008376932,3.9549455999513157
86__M_Right_index_finger.BMP,M2 Modified Gabor,Gabor,27.582988301158558,0.0017446212977138959,0.8206633272415698,0.002631267561063904,25.798349883318195,0.8105821337192133,0.6001803278923035,0.1801624298095703,2.182700080840744,47.778625954198475,0.37750244140625,-1.7846384178403625,0.0008866462633500083,-0.01008119352235648,4.013560899998993
576__M_Left_little_finger.BMP,M2 Modified Gabor,Gabor,27.250599018190513,0.0018833892975043372,0.8615081280892491,0.0022648599066463645,26.44958656190702,0.8580072240241989,0.5546420812606812,0.1981145441532135,11.768349334159181,9.894736842105264,0.3448944091796875,-0.8010124562834946,0.00038147060914202726,-0.0035009040650502143,4.050056300009601
537__M_Right_thumb_finger.BMP,M2 Modified Gabor,Gabor,27.160549724632475,0.0019228483217214737,0.8889713668987751,0.002334760863864232,26.317575951075767,0.8844371091566682,0.6584713459014893,0.20815786719322205,3.9280236429613553,25.39144736842105,0.4078826904296875,-0.8429737735567073,0.00041191254214275816,-0.0045342577421069175,4.233435500005726
34__M_Right_ring_finger.BMP,M3 TV,TV,27.38889028602457,0.0018243618056768378,0.852031355201602,0.0012503360027422891,29.029732633695193,0.9407316445982457,0.6840745210647583,0.1805790662765503,1.8542555164101613,47.45925925925926,0.4114532470703125,1.640842347670624,-0.0005740258029345486,0.08870028939664365,0.021458400005940348
12__M_Left_middle_finger.BMP,M3 TV,TV,27.200596265626643,0.001905199125245581,0.8736786578543186,0.0012929962628073618,28.88402730374429,0.9408749792202711,0.679178774356842,0.17893806099891663,1.4093705957168883,47.00653594771242,0.4438934326171875,1.6834310381176465,-0.0006122028624382192,0.06719632136595244,0.02102669997839257
379__F_Left_ring_finger.BMP,M3 TV,TV,27.29697459443381,0.001863384765742222,0.8307089306706786,0.0012089520624414527,29.175909195113597,0.9426344510675668,0.5795237421989441,0.17503821849822998,6.590509666080843,14.458666666666666,0.3472900390625,1.8789346006797878,-0.0006544327033007693,0.11192552039688819,0.024807200010400265
216__M_Right_ring_finger.BMP,M3 TV,TV,27.409242552997565,0.001815832331964324,0.8339104979358911,0.0012153410746823488,29.15301824069559,0.9376118296965361,0.6406987905502319,0.15854571759700775,1.0714549619448754,41.13333333333333,0.412994384765625,1.743775687698026,-0.0006004912572819751,0.103701331760645,0.02484369999729097
598__M_Right_little_finger.BMP,M3 TV,TV,27.232376829257564,0.0018913082504083206,0.873195821332097,0.0013300966007534349,28.7611681643843,0.9494951010679007,0.6619700193405151,0.22236737608909607,6.627218934911242,14.39367816091954,0.386810302734375,1.528791335126737,-0.0005612116496548857,0.07629927973580364,0.020968400000128895
241__M_Right_thumb_finger.BMP,M3 TV,TV,27.683054149489543,0.0017048830187297685,0.8502431259251237,0.001063966248600941,29.73072148618845,0.9305717186890841,0.6885805726051331,0.17056399583816528,0.6664339437021992,81.41891891891892,0.48724332013854527,2.0476673366989075,-0.0006409167701288275,0.08032859276396032,0.021294400037731975
318__F_Left_little_finger.BMP,M3 TV,TV,27.680894438410597,0.001705731054009289,0.804882369456917,0.0010648546447977727,29.727096704135416,0.9370431328734159,0.5706948041915894,0.18057087063789368,9.121409100440344,10.837078651685394,0.29107666015625,2.046202265724819,-0.0006408764092115163,0.13216076341649885,0.024193900055252016
533__M_Left_thumb_finger.BMP,M3 TV,TV,27.13216588011231,0.0019354564872124708,0.877849622436881,0.001251222133203796,29.02665581864744,0.9467567633266449,0.7231506109237671,0.19262641668319702,5.164146071560309,20.137254901960784,0.3722991943359375,1.8944899385351306,-0.0006842343540086747,0.06890714088976391,0.02331880002748221
352__M_Left_ring_finger.BMP,M3 TV,TV,27.179633251246813,0.001914417585057521,0.8731976190728247,0.0013220748998564698,28.78743939954072,0.9500070106333495,0.6849148273468018,0.2108405977487564,6.031918904201399,16.376506024096386,0.3642730712890625,1.607806148293907,-0.0005923426852010511,0.0768093915605248,0.018039699993096292
399__M_Right_ring_finger.BMP,M3 TV,TV,27.19164994656221,0.0019091278159366633,0.7421257503849864,0.0009029102818236768,30.443554014524793,0.9096315685558319,0.5590227842330933,0.11867561936378479,18.03576841467111,9.925788497217068,0.302032470703125,3.251904067962581,-0.0010062175341129865,0.16750581817084553,0.028160700050648302
576__M_Left_middle_finger.BMP,M3 TV,TV,26.928755659828724,0.002028263774235365,0.9142761199680268,0.0015028892178615837,28.230730312857474,0.9505768032218218,0.6995571851730347,0.20861440896987915,5.666738397532458,18.583333333333332,0.425445556640625,1.3019746530287506,-0.0005253745563737811,0.036300683253794985,0.013456299959216267
506__M_Right_ring_finger.BMP,M3 TV,TV,27.395784631250596,0.0018214679623487747,0.8722582732038497,0.0012204250684451636,29.134888802040084,0.9455651290085316,0.6029711961746216,0.20997056365013123,1.7058442223056192,30.215311004784688,0.4472503662109375,1.7391041707894885,-0.000601042893903611,0.07330685580468188,0.025176300026942044
559__M_Right_index_finger.BMP,M3 TV,TV,27.192835645833707,0.001908606662071044,0.8851221825720071,0.001303052790208544,28.850379894816935,0.9493237113127708,0.6852331161499023,0.21888159215450287,6.053074641225046,16.8125,0.380645751953125,1.6575442489832284,-0.0006055538718624999,0.06420152874076368,0.028815399971790612
