filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
277__M_Right_middle_finger.BMP,277,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.245325559141563,0.8554567247328758,0.0018856776085891085,27.699157832016972,0.8714698653658033,0.001698573001594705,0.4538322728754096,0.01601314063292747,-0.00018710460699440353,0.01887662708759308,0.8788994999995339
277__M_Right_ring_finger.BMP,277,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.26965419473933,0.8603403111504913,0.0018751438097062696,27.390243120817544,0.876645135763824,0.001823793602334188,0.12058892607821292,0.016304824613332713,-5.1350207372081666e-05,0.020095378160476685,0.9017193000036059
277__M_Right_thumb_finger.BMP,277,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.713893269652402,0.7956702655243874,0.0016928195775946103,28.164795421474512,0.8180584333577156,0.0015258802711487092,0.4509021518221097,0.0223881678333282,-0.00016693930644590105,0.014057449996471405,0.906184100000246
113__M_Left_index_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.091395953718273,0.8805550547920465,0.0019537113729576386,26.744699240930636,0.8911896197746396,0.0021160702229707485,-0.3466967127876366,0.010634564982593075,0.00016235885001310985,0.022056791931390762,0.9178635999996914
113__M_Left_little_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.389659096509163,0.8270766893867254,0.0018240388763275269,27.735281296528854,0.8462075070543289,0.001684503316411954,0.34562220001969024,0.019130817667603495,-0.00013953555991557277,0.01703532785177231,0.8998781999980565
113__M_Left_middle_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.115692492636224,0.8776933735228181,0.0019428118812631677,27.30286363864209,0.8898032937199474,0.0018608597236344309,0.18717114600586626,0.012109920197129309,-8.195215762873682e-05,0.01921250857412815,0.8836899000016274
113__M_Left_ring_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.0532031403392,0.8816855724269748,0.001970968511443341,27.030607299630244,0.8925651922854781,0.001981249956547661,-0.022595840708955706,0.010879619858503387,1.028144510432016e-05,0.01984318159520626,0.9289929000005941
113__M_Left_thumb_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.279303541011437,0.8767163291655778,0.001870982157501112,27.26633693395673,0.8888814910034537,0.001876576643306461,-0.012966607054707424,0.01216516183787586,5.594485805349115e-06,0.020203720778226852,0.8733640999998897
113__M_Right_index_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.52628103978593,0.7962213375407458,0.0017675507658317642,28.287535001704587,0.8182686559993029,0.001483359781736014,0.7612539619186585,0.02204731845855712,-0.0002841909840957501,0.013341122306883335,0.9036491000006208
113__M_Right_little_finger.BMP,113,"M4 Directional Diffusion (iterations=4, step=0.16)",M4 Directional Diffusion,"{""iterations"": 4, ""step"": 0.16}",27.049336324191856,0.8765692704223395,0.0019727241788767436,27.20297898221471,0.8900497881100774,0.0019041541420175812,0.1536426580228536,0.013480517687737947,-6.857003685916243e-05,0.02056490071117878,0.8808034999965457
