severity,filename,method,parameters_json,paired_clean_reference_available,coherence_before,contrast_before,fragmentation_before,continuity_before,ridge_coverage_before,coherence_after,contrast_after,fragmentation_after,continuity_after,ridge_coverage_after,delta_coherence,delta_contrast,delta_fragmentation,delta_continuity,delta_ridge_coverage
Altered-Easy,187__M_Right_little_finger_CR.BMP,M1 NLM,"{""h"": 0.07}",False,0.542670726776123,0.1726345717906952,13.613666228646519,7.952561669829222,0.2902984619140625,0.6161119341850281,0.1644078940153122,9.989200863930886,9.504761904761905,0.2825927734375,0.07344120740890503,-0.008226677775382996,-3.6244653647156326,1.552200234932683,-0.0077056884765625
Altered-Easy,187__M_Right_little_finger_CR.BMP,M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55, ""strength"": 0.12}",False,0.542670726776123,0.1726345717906952,13.613666228646519,7.952561669829222,0.2902984619140625,0.542823314666748,0.17278021574020386,13.612235244652336,7.9543726235741445,0.2903289794921875,0.000152587890625,0.000145643949508667,-0.001430983994183066,0.0018109537449229052,3.0517578125e-05
Altered-Easy,187__M_Right_little_finger_CR.BMP,M3 TV,"{""weight"": 0.02}",False,0.542670726776123,0.1726345717906952,13.613666228646519,7.952561669829222,0.2902984619140625,0.5610432624816895,0.16417771577835083,12.48665955176094,8.120901639344263,0.28594970703125,0.018372535705566406,-0.00845685601234436,-1.1270066768855784,0.16833996951504115,-0.0043487548828125
Altered-Easy,187__M_Right_little_finger_CR.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.542670726776123,0.1726345717906952,13.613666228646519,7.952561669829222,0.2902984619140625,0.5432073473930359,0.16832204163074493,13.853637901861253,7.807547169811321,0.28857421875,0.0005366206169128418,-0.004312530159950256,0.23997167321473434,-0.14501450001790062,-0.0017242431640625
Altered-Easy,358__M_Right_ring_finger_CR.BMP,M1 NLM,"{""h"": 0.07}",False,0.6423923373222351,0.1937636137008667,5.536979110487901,17.644257703081234,0.4243927001953125,0.7255144715309143,0.18188689649105072,3.9561229994605287,21.49084249084249,0.4242706298828125,0.0831221342086792,-0.011876717209815979,-1.5808561110273724,3.8465847877612553,-0.0001220703125
Altered-Easy,358__M_Right_ring_finger_CR.BMP,M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55, ""strength"": 0.12}",False,0.6423923373222351,0.1937636137008667,5.536979110487901,17.644257703081234,0.4243927001953125,0.6429812908172607,0.1938839852809906,5.573334292186545,17.633053221288517,0.4243621826171875,0.0005889534950256348,0.00012037158012390137,0.036355181698644046,-0.011204481792717047,-3.0517578125e-05
Altered-Easy,358__M_Right_ring_finger_CR.BMP,M3 TV,"{""weight"": 0.02}",False,0.6423923373222351,0.1937636137008667,5.536979110487901,17.644257703081234,0.4243927001953125,0.6559637784957886,0.1836216151714325,4.9538962212981374,17.79402985074627,0.4219818115234375,0.013571441173553467,-0.010141998529434204,-0.5830828891897637,0.14977214766503621,-0.002410888671875
Altered-Easy,358__M_Right_ring_finger_CR.BMP,M4 Directional Diffusion,"{""iterations"": 2, ""step"": 0.12}",False,0.6423923373222351,0.1937636137008667,5.536979110487901,17.644257703081234,0.4243927001953125,0.6463649272918701,0.1885884404182434,5.459936361006654,17.971264367816094,0.4219970703125,0.00397258996963501,-0.005175173282623291,-0.07704274948124734,0.32700666473485995,-0.0023956298828125
Altered-Easy,164__M_Right_thumb_finger_Zcut.BMP,M1 NLM,"{""h"": 0.07}",False,0.5028946399688721,0.23022674024105072,5.108824970256841,13.633832976445396,0.436065673828125,0.5398252010345459,0.22427618503570557,4.56060340291177,14.372641509433961,0.4349517822265625,0.03693056106567383,-0.005950555205345154,-0.5482215673450712,0.7388085329885659,-0.0011138916015625
Altered-Easy,164__M_Right_thumb_finger_Zcut.BMP,M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 1.5707963267948966, ""sigma_scale"": 0.55, ""strength"": 0.12}",False,0.5028946399688721,0.23022674024105072,5.108824970256841,13.633832976445396,0.436065673828125,0.5034744739532471,0.2304140031337738,5.1075739023963616,13.667381974248928,0.4361724853515625,0.000579833984375,0.0001872628927230835,-0.0012510678604797931,0.03354899780353193,0.0001068115234375
