split,filename,subject_id,method,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
development,572__F_Right_index_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.46236185610437,0.8347724638455808,0.0017937578488015497,29.40799647710522,0.9079023815701008,0.0011460415207781766,1.945634621000849,0.07312991772452004,-0.000647716328023373,0.02687116712331772,0.47738029999891296
development,572__F_Right_little_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.974544939353972,0.7329479814072252,0.001594209915804351,30.055695018739044,0.8986637172243596,0.0009872576283375745,2.081150079385072,0.1657157358171344,-0.0006069522874667765,0.024633994325995445,0.47054790000402136
development,572__F_Right_middle_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.286906419383943,0.8481148620772362,0.0018677096301195127,29.60222921781265,0.9428206718657016,0.0010959155222864112,2.3153227984287064,0.09470580978846543,-0.0007717941078331015,0.024328546598553658,0.4779961000022013
development,572__F_Right_ring_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.675962306992894,0.7896063315761983,0.0017076692938429667,30.294082364737022,0.9489085846297741,0.0009345268066767089,2.618120057744129,0.15930225305357582,-0.0007731424871662577,0.0227982010692358,0.4375771999984863
development,572__F_Right_thumb_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.222879613560988,0.8812139176847636,0.0018954487167133127,29.02761080270103,0.9214282621121407,0.0012509470282072474,1.8047311891400426,0.040214344427377036,-0.0006445016885060653,0.028183694928884506,0.4283775000003516
development,29__F_Left_index_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.623691427691885,0.7954367920094132,0.0017283466700372958,29.55365533443297,0.9255398784148693,0.0011082416468012229,1.9299639067410865,0.1301030864054561,-0.0006201050232360729,0.027302291244268417,0.42859630000020843
development,29__F_Left_little_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.41274074675311,0.8241425118806959,0.0018143702881231619,29.377266061455344,0.9313372692016363,0.0011541795997930594,1.964525314702236,0.10719475732094041,-0.0006601906883301025,0.02149985171854496,0.4195735999965109
development,29__F_Left_middle_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.14871397879486,0.8713243151237965,0.0019280957712296085,28.88894993112034,0.9235175713899135,0.0012915315117749027,1.740235952325481,0.05219325626611704,-0.0006365642594547058,0.023340551182627678,0.4405778000000282
development,29__F_Left_ring_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.068069623154493,0.8852838855306506,0.0019642331563697636,28.828897757756966,0.9356138012983799,0.0013095142363988798,1.7608281346024732,0.05032991576772927,-0.0006547189199708839,0.020994853228330612,0.4108650999987731
development,29__F_Left_thumb_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.00724258759245,0.8884813020378352,0.0019919376539917696,28.388546202853007,0.9341391900312901,0.0014492569098929773,1.3813036152605562,0.04565788799345494,-0.0005426807440987924,0.021653302013874054,0.4439305999985663
development,29__F_Right_index_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.13446795737326,0.8550214416386783,0.001934430826082868,28.985447020462974,0.9410305611846447,0.0012631510806398025,1.8509790630897136,0.08600911954596635,-0.0006712797454430655,0.02071836031973362,0.43486660000053234
development,29__F_Right_little_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.241294751244425,0.8476442870678902,0.0018874285708654986,29.247951878201306,0.9474540566323996,0.0011890628542679262,2.006657126956881,0.09980976956450938,-0.0006983657165975724,0.023507775738835335,0.429825900006108
development,29__F_Right_middle_finger.BMP,29,M1 NLM,"{""h"": 0.07}",27.250855791884682,0.83831398543185,0.0018832779466694744,28.986959845854393,0.9290946368823051,0.0012627111500583166,1.7361040539697115,0.09078065145045511,-0.0006205667966111578,0.02318090945482254,0.4675074000042514
development,29__F_Right_ring_finger.BMP,29,M1 NLM,"{""h"": 0.07}",26.977191599302174,0.8919698833798766,0.002005768654746689,28.757578856977325,0.9417744648029804,0.0013311963381795549,1.7803872576751516,0.049804581423103844,-0.0006745723165671341,0.022715695202350616,0.43952790000184905
development,29__F_Right_thumb_finger.BMP,29,M1 NLM,"{""h"": 0.07}",26.97520674425169,0.9095325257153511,0.0020066855602344016,28.515828136314944,0.9374786900538206,0.0014073988323171965,1.5406213920632545,0.027946164338469415,-0.0005992867279172051,0.02068784087896347,0.4483290999996825
development,236__M_Left_index_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.230110186596267,0.8644258776392341,0.0018922956078444896,29.682251738923316,0.9348108127013445,0.0010759072304061135,2.452141552327049,0.07038493506211041,-0.000816388377438376,0.027514033019542694,0.4412150999996811
development,236__M_Left_little_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.487337971316265,0.8122688657089174,0.001783471619891689,29.943652496784516,0.9426298395773173,0.0010130590260149534,2.456314525468251,0.13036097386839984,-0.0007704125938767356,0.02619726024568081,0.4223039999997127
development,236__M_Left_middle_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.268425888389103,0.8386161139320135,0.0018756742278643796,29.690378429545852,0.9410788536477089,0.0010738958326077753,2.421952541156749,0.10246273971569542,-0.0008017783952566043,0.028138894587755203,0.45337669999571517
development,236__M_Left_ring_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.080380833903757,0.8716979291836321,0.00195867290946392,29.499286736272786,0.924071781407237,0.001122202744183579,2.41890590236903,0.05237385222360491,-0.0008364701652803408,0.028962809592485428,0.44367639999836683
development,236__M_Left_thumb_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.252487499118946,0.8528684914248585,0.0018825705047901583,29.898935543184358,0.9497631761218309,0.0010235438323775538,2.646448044065412,0.09689468469697238,-0.0008590266724126045,0.026919491589069366,0.5981754000022192
development,236__M_Right_index_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.53921246464294,0.857044079580307,0.0017622955863351969,29.73677571451159,0.9390101282583475,0.0010624840730016224,2.197563249868651,0.08196604867804047,-0.0006998115133335745,0.026056956499814987,0.578570600002422
development,236__M_Right_little_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.254971723082324,0.8556590841823817,0.0018814939565873446,29.55247071430425,0.9482629186246395,0.0011085439818492027,2.297498991221925,0.09260383444225784,-0.000772949974738142,0.024817632511258125,0.6306239999976242
development,236__M_Right_middle_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.369746618381576,0.870484657946229,0.0018324213287117393,29.49273900844267,0.9444988899395466,0.0011238959317137432,2.1229923900610927,0.07401423199331758,-0.0007085253969979961,0.027219517156481743,0.6026969999948051
development,236__M_Right_ring_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.35531229242566,0.8474338980606199,0.001838521744710349,29.871424962781962,0.9495867430399656,0.0010300480961091337,2.5161126703563035,0.10215284497934574,-0.0008084736486012154,0.02617168240249157,0.6114725999941584
development,236__M_Right_thumb_finger.BMP,236,M1 NLM,"{""h"": 0.07}",27.43324241478733,0.8936245013394952,0.0018058254049184786,29.585801113690376,0.9326154860327244,0.0011000689042998857,2.1525586989030465,0.03899098469322915,-0.0007057565006185929,0.02783561870455742,0.5851612999977078
development,71__M_Left_index_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.400723074409225,0.852191063885957,0.0018193979144903785,29.567078935885927,0.9591202152171135,0.001104821472829991,2.1663558614767027,0.10692915133115655,-0.0007145764416603875,0.02139532007277012,0.6860360999999102
development,71__M_Left_little_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.71066654139068,0.7914544510637522,0.0016940777788120003,30.252753543356086,0.9547867532880306,0.000943462506111822,2.542087001965406,0.16333230222427841,-0.0007506152727001784,0.023794690147042274,0.6547380000047269
development,71__M_Left_middle_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.324002819836846,0.8594442137144804,0.0018518240412643122,29.675240657008484,0.9536352904329299,0.0010776455361184848,2.351237837171638,0.0941910767184495,-0.0007741785051458274,0.023287756368517876,0.5653680999967037
development,71__M_Left_ring_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.206743096008278,0.8708310496015549,0.0019025044899998523,29.574350442305732,0.9527377345155478,0.0011029731890069537,2.3676073462974543,0.08190668491399289,-0.0007995313009928986,0.024577129632234573,0.5567639000000781
development,71__M_Left_thumb_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.216405175825415,0.8884816764104366,0.0018982765483447198,29.096828358220925,0.9510930743449927,0.0012311675611822138,1.8804231823955107,0.06261139793455606,-0.0006671089871625061,0.020742058753967285,0.5473249000060605
development,71__M_Right_index_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.699973363822046,0.8149432333825231,0.0016982540681729117,30.49828655896388,0.957414556024313,0.0008916026366429461,2.7983131951418336,0.14247132264178997,-0.0008066514315299656,0.02477584034204483,0.5420822000014596
development,71__M_Right_little_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.569618878214843,0.8136471458607912,0.0017500002558434424,30.129195538549443,0.9540907569708824,0.0009706897554313098,2.5595766603345993,0.14044361111009118,-0.0007793105004121326,0.023048430681228638,0.5507213000018965
development,71__M_Right_middle_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.378813624145167,0.8729499959701598,0.0018285996722272328,29.88501665390967,0.9521355631991625,0.0010268294940729422,2.506203029764503,0.07918556722900272,-0.0008017701781542906,0.024150848388671875,0.5234340000024531
development,71__M_Right_ring_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.672722631596756,0.8099496431675554,0.0017089436269009956,30.445040876765358,0.9640146693145036,0.0009026012119470574,2.772318245168602,0.15406502614694828,-0.0008063424149539382,0.023245258256793022,0.4599625999981072
development,71__M_Right_thumb_finger.BMP,71,M1 NLM,"{""h"": 0.07}",27.40409092316142,0.8698846017852724,0.0018179875622943683,29.170787777833503,0.923909272645235,0.0012103785599836018,1.7666968546720838,0.054024670859962654,-0.0006076090023107664,0.027375780045986176,0.47472189999825787
