filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,runtime_seconds
501__M_Left_middle_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.52430149906059,0.8029155948780179,0.0017683566098870935,25.119132167218616,0.7946443995570466,0.0030767115599205155,-2.405169331841975,-0.008271195320971314,0.001308354950033422,1.098099099996034
501__M_Left_ring_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.358389124902512,0.8241556460552215,0.0018372196742751177,24.907569254270022,0.8150771684971396,0.0032303016152916302,-2.4508198706324897,-0.009078477558081888,0.0013930819410165125,1.069600699993316
501__M_Left_thumb_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.81660114041582,0.7769351523290873,0.0016532551565629702,24.967890255857405,0.7634959909608215,0.003185744737804896,-2.8487108845584146,-0.013439161368265728,0.0015324895812419258,0.9761559999897145
501__M_Right_index_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.4909620744602,0.8130318595907092,0.0017819839682411266,24.57254673511741,0.7825375174757708,0.0034893563702122774,-2.91841533934279,-0.0304943421149384,0.0017073724019711508,0.9856169000267982
501__M_Right_little_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.573768505254993,0.7845928464406728,0.0017483289520418919,24.968822971763025,0.7759877971763052,0.0031850606223353464,-2.604945533491968,-0.00860504926436767,0.0014367316702934545,0.9569068999844603
501__M_Right_middle_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.491269245747194,0.8174476757915616,0.0017818579351058632,24.610494409450055,0.8004605319900774,0.0034589999764297035,-2.880774836297139,-0.01698714380148425,0.0016771420413238404,1.223944700032007
501__M_Right_ring_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.778547761307667,0.7602594677556157,0.0016678048170976419,24.980693664637087,0.7497117195023261,0.0031763666939015577,-2.79785409667058,-0.010547748253289635,0.0015085618768039158,0.9303601999999955
501__M_Right_thumb_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.340959923282963,0.8611186378437876,0.001844607659556476,24.152537264619397,0.8382407710255124,0.003843671588529904,-3.1884226586635656,-0.022877866818275194,0.0019990639289734283,1.2400627000024542
443__M_Left_index_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.135094969734823,0.8466296955327391,0.0019341515629242856,24.42087394057379,0.8327092569131702,0.0036133714263548214,-2.714221029161031,-0.013920438619568931,0.0016792198634305359,1.061471300025005
443__M_Left_little_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13340595635713,0.8394890675188899,0.0019349039195231878,24.623127199949394,0.8245314928240943,0.003448953030725395,-2.510278756407736,-0.014957574694795528,0.0015140491112022073,1.3127252000267617
