split,filename,subject_id,noise_seed,psnr,ssim,mse
development,298__M_Right_thumb_finger.BMP,298,20261062,27.224693413952195,0.9114079438939094,0.0018946572611581649
development,249__M_Left_index_finger.BMP,249,20261063,27.124570472016103,0.7470878210087121,0.0019388443829746948
development,249__M_Left_little_finger.BMP,249,20261064,27.850348680485556,0.7587672882475555,0.0016404580610319855
development,249__M_Left_middle_finger.BMP,249,20261065,27.086136842742746,0.7350637589780092,0.0019560786626691674
development,249__M_Left_ring_finger.BMP,249,20261066,27.286670865582614,0.700930704194814,0.0018678109342006519
development,249__M_Left_thumb_finger.BMP,249,20261067,26.984771156079184,0.8261111951120794,0.0020022711250024757
development,249__M_Right_index_finger.BMP,249,20261068,27.925095882335967,0.77181945014894,0.001612465427378501
development,249__M_Right_little_finger.BMP,249,20261069,27.657119233589647,0.6353878059021234,0.001715094588497569
development,249__M_Right_middle_finger.BMP,249,20261070,27.168536038644476,0.7934208035671115,0.0019193156128915168
development,249__M_Right_ring_finger.BMP,249,20261071,27.08777009207556,0.788884221210897,0.0019553431793387643
development,249__M_Right_thumb_finger.BMP,249,20261072,28.10834497793756,0.6780079972983599,0.001545843421819905
development,393__M_Left_index_finger.BMP,393,20261073,27.308206704505906,0.8914485091529191,0.0018585717409852326
development,393__M_Left_little_finger.BMP,393,20261074,27.318831886242837,0.8610343153392672,0.0018540302314057613
development,393__M_Left_middle_finger.BMP,393,20261075,27.599379652066386,0.8259976084778606,0.0017380490746276103
development,393__M_Left_ring_finger.BMP,393,20261076,27.3096594584879,0.8725850996860862,0.001857950136045422
development,393__M_Left_thumb_finger.BMP,393,20261077,27.203729999603823,0.8870638376303315,0.0019038248886444147
development,393__M_Right_index_finger.BMP,393,20261078,27.18564958969017,0.8956395128723978,0.0019117673533812795
development,393__M_Right_little_finger.BMP,393,20261079,27.38883507911954,0.8566403560225367,0.0018243849968554713
development,393__M_Right_middle_finger.BMP,393,20261080,27.34189386160175,0.8759159202563465,0.0018442110244102443
development,393__M_Right_ring_finger.BMP,393,20261081,27.53648716712822,0.8377262864155174,0.0017634018143036256
development,393__M_Right_thumb_finger.BMP,393,20261082,27.279869519902554,0.8713236901729107,0.0018707383442700316
development,245__M_Left_index_finger.BMP,245,20261083,27.369483519165946,0.8475481766363681,0.0018325323416851827
development,245__M_Left_little_finger.BMP,245,20261084,27.90731007442499,0.7520611994141341,0.0016190825516656838
development,245__M_Left_middle_finger.BMP,245,20261085,27.144213089173356,0.8857407036245465,0.0019300950240497081
development,245__M_Left_ring_finger.BMP,245,20261086,27.034777154693998,0.8768079179877639,0.0019793485830217304
development,245__M_Left_thumb_finger.BMP,245,20261087,27.29682163769929,0.864652694988966,0.0018634503945447873
development,245__M_Right_index_finger.BMP,245,20261088,27.86161374413362,0.7314716830980778,0.0016362084288809222
development,245__M_Right_little_finger.BMP,245,20261089,27.759733272900732,0.7882265864093005,0.0016750457477857116
development,245__M_Right_middle_finger.BMP,245,20261090,27.610087418904833,0.8386277327285409,0.0017337690984571036
development,245__M_Right_ring_finger.BMP,245,20261091,27.62839155773911,0.8352236195013225,0.0017264771874037441
development,245__M_Right_thumb_finger.BMP,245,20261092,27.02799729760429,0.9315969390202463,0.0019824409964453883
development,353__M_Left_index_finger.BMP,353,20261093,27.210708483175573,0.7456378089148998,0.0019007681741822528
development,353__M_Left_little_finger.BMP,353,20261094,27.310469338294897,0.8111156491096616,0.0018576036946173202
development,353__M_Left_middle_finger.BMP,353,20261095,27.07881538087769,0.8079627258788943,0.001959379057768534
development,353__M_Left_ring_finger.BMP,353,20261096,26.889426053059687,0.8387388352847099,0.0020467151048752454
development,353__M_Left_thumb_finger.BMP,353,20261097,27.050436755067842,0.817199472497642,0.0019722243862978625
development,353__M_Right_index_finger.BMP,353,20261098,27.759630496506418,0.7777755392009615,0.001675085388445793
development,353__M_Right_little_finger.BMP,353,20261099,27.173805315813695,0.7856670542563796,0.001916988327244512
development,353__M_Right_middle_finger.BMP,353,20261100,26.857230134638407,0.8565264380849004,0.002061944571451783
development,353__M_Right_ring_finger.BMP,353,20261101,26.911811584863287,0.8226192198185026,0.0020361925377766475
development,353__M_Right_thumb_finger.BMP,353,20261102,27.32793629146971,0.8724088980541229,0.0018501475751853827
development,382__M_Left_index_finger.BMP,382,20261103,27.724036629139857,0.7947871396856904,0.0016888704505084351
development,382__M_Left_little_finger.BMP,382,20261104,27.09271034075746,0.893729249388218,0.0019531201740218458
development,382__M_Left_middle_finger.BMP,382,20261105,27.57607971360535,0.8350109269056917,0.0017473987819297552
development,382__M_Left_ring_finger.BMP,382,20261106,27.060884356324884,0.8998926139307618,0.0019674856086986654
development,382__M_Left_thumb_finger.BMP,382,20261107,27.255791680260188,0.8907386924384832,0.0018811387600763264
development,382__M_Right_index_finger.BMP,382,20261108,27.455173245065584,0.8698757472695112,0.0017967294051407137
development,382__M_Right_little_finger.BMP,382,20261109,27.739852403413927,0.8104227801680863,0.001682731248342592
development,382__M_Right_middle_finger.BMP,382,20261110,27.363344701743767,0.8778663659537435,0.0018351244851289054
development,382__M_Right_ring_finger.BMP,382,20261111,27.682723706584703,0.8205907543003559,0.0017050127435947287
development,382__M_Right_thumb_finger.BMP,382,20261112,27.614139616680177,0.8601692046675384,0.001732152154429862
development,95__M_Left_index_finger.BMP,95,20261113,27.39134677204572,0.8359918886170089,0.0018233301895119857
development,95__M_Left_little_finger.BMP,95,20261114,27.54402322678643,0.7636391966834069,0.0017603445389775525
development,95__M_Left_middle_finger.BMP,95,20261115,27.293829348976956,0.8689211923083067,0.001864734754166977
development,95__M_Left_ring_finger.BMP,95,20261116,27.092209087232433,0.8861374237051011,0.001953345612039718
development,95__M_Left_thumb_finger.BMP,95,20261117,27.28356618176967,0.8596593739498853,0.001869146672021306
development,95__M_Right_index_finger.BMP,95,20261118,27.733939330068015,0.7975209111049771,0.0016850239070106336
development,95__M_Right_little_finger.BMP,95,20261119,27.35006041895754,0.8177310701611936,0.0018407463928654848
development,95__M_Right_middle_finger.BMP,95,20261120,27.256887464854394,0.8745515389959216,0.001880664182818134
development,95__M_Right_ring_finger.BMP,95,20261121,27.06599395535293,0.8813759167299867,0.0019651721666833826
development,95__M_Right_thumb_finger.BMP,95,20261122,27.280560331397304,0.858041308440566,0.0018704407985196255
development,344__M_Left_index_finger.BMP,344,20261123,27.762510472264623,0.7805653719962835,0.0016739749423528873
development,344__M_Left_little_finger.BMP,344,20261124,27.452418963348357,0.827007361033082,0.0017978692465879286
development,344__M_Left_middle_finger.BMP,344,20261125,27.198867390325397,0.8704623010368348,0.0019059577136130844
development,344__M_Left_ring_finger.BMP,344,20261126,27.60905736985692,0.799125665891707,0.0017341803583473727
development,344__M_Left_thumb_finger.BMP,344,20261127,27.632042690311692,0.8132330956027806,0.0017250263404855889
