Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Left_thumb_finger.BMP,0.55,M1 Wiener + CLAHE,0.05003321771854653,13.00741566025798,0.6851623855864438,0.6229187846183777,3.3333333333333335,0.00800230000004376,206,66
100__M_Left_thumb_finger.BMP,0.55,M1 CLAHE + Unsharp,0.0734075139208153,11.342594838532742,0.5978318014487382,0.5210536122322083,3.3333333333333335,0.006644600000072387,206,66
100__M_Left_thumb_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.04661783493575352,13.31447900212469,0.6950796950118812,0.617775559425354,3.3333333333333335,0.009515400000054797,206,66
100__M_Left_thumb_finger.BMP,0.55,Gabor,0.0899436486078485,10.46029499043868,0.5043219000902546,0.5673123002052307,1.3333333333333333,0.4832550999999512,206,66
100__M_Left_thumb_finger.BMP,0.55,Hybrid,0.0543979412223083,12.644175365648787,0.6478060715763321,0.6121479868888855,2.3333333333333335,0.4735798000001523,206,66
100__M_Right_index_finger.BMP,0.75,Degraded input,0.04761685501696956,13.222392921289629,0.3539538532269868,0.3996579349040985,3.3333333333333335,0.0,156,63
100__M_Right_index_finger.BMP,0.75,Global HE,0.05175169481079923,12.860754229739339,0.4715673765338929,0.5225767493247986,3.6666666666666665,0.0060376999999789405,156,63
100__M_Right_index_finger.BMP,0.75,M1 CLAHE,0.10689283562639948,9.710514019211503,0.4062249938041969,0.40926000475883484,1.0,0.005693799999789917,156,63
100__M_Right_index_finger.BMP,0.75,M1 Median + CLAHE,0.08739126850467276,10.585319567210833,0.486984971515682,0.5131613612174988,2.3333333333333335,0.00869090000014694,156,63
100__M_Right_index_finger.BMP,0.75,M1 Wiener + CLAHE,0.06245045365986744,12.044644024257709,0.528003138637521,0.5931046605110168,4.0,0.00903199999993376,156,63
100__M_Right_index_finger.BMP,0.75,M1 CLAHE + Unsharp,0.12376623463116762,9.073978214991111,0.344869299855612,0.34397488832473755,0.0,0.007190499999524036,156,63
100__M_Right_index_finger.BMP,0.75,M1 Wiener + CLAHE + Unsharp,0.05934702107240809,12.266010756021295,0.5271354686457559,0.5759593844413757,3.0,0.01031790000070032,156,63
100__M_Right_index_finger.BMP,0.75,Gabor,0.08482417891637148,10.714803355592363,0.3414691966466935,0.4403727352619171,0.3333333333333333,0.4799886000000697,156,63
100__M_Right_index_finger.BMP,0.75,Hybrid,0.05952640482466422,12.252903464413459,0.5007784594210699,0.5750994682312012,1.6666666666666667,0.47018130000014935,156,63
100__M_Right_little_finger.BMP,0.35,Degraded input,0.015030377033854693,18.23030125090482,0.6506499463224802,0.7181093692779541,26.0,0.0,148,45
100__M_Right_little_finger.BMP,0.35,Global HE,0.0307783875086996,15.117541367598339,0.587319826726526,0.7394503951072693,24.0,0.00570880000032048,148,45
100__M_Right_little_finger.BMP,0.35,M1 CLAHE,0.08062299681799037,10.935410628273823,0.5135576328880047,0.6710096001625061,3.3333333333333335,0.005769899999904737,148,45
100__M_Right_little_finger.BMP,0.35,M1 Median + CLAHE,0.05103121668761896,12.921640770837985,0.5513576327958761,0.705086350440979,4.0,0.008038500000111526,148,45
100__M_Right_little_finger.BMP,0.35,M1 Wiener + CLAHE,0.030877494633179688,15.103579450955731,0.6445810885840836,0.7461245656013489,7.0,0.008443100000476988,148,45
100__M_Right_little_finger.BMP,0.35,M1 CLAHE + Unsharp,0.07759585222652779,11.101614927015373,0.5020279644201998,0.6409551501274109,4.0,0.006727099999807251,148,45
100__M_Right_little_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.029888978000333535,15.244889346229431,0.6507051136718881,0.739486038684845,6.0,0.009411500000169326,148,45
100__M_Right_little_finger.BMP,0.35,Gabor,0.05845743818671389,12.33160220893603,0.4778830068457153,0.699549674987793,2.0,0.4842717999999877,148,45
100__M_Right_little_finger.BMP,0.35,Hybrid,0.031313214783209406,15.042723430845498,0.6507228107135673,0.7401773929595947,8.666666666666666,0.536532499999339,148,45
100__M_Right_middle_finger.BMP,0.55,Degraded input,0.029319538359486547,15.328428720086029,0.5511808460732186,0.6152935028076172,15.333333333333334,0.0,131,52
100__M_Right_middle_finger.BMP,0.55,Global HE,0.023243789773570705,16.33693061154064,0.6841829407084565,0.6851174235343933,16.333333333333332,0.006206999999449181,131,52
100__M_Right_middle_finger.BMP,0.55,M1 CLAHE,0.05562566388758609,12.547247927122312,0.6232232805102238,0.6131360530853271,5.0,0.005917399999816553,131,52
100__M_Right_middle_finger.BMP,0.55,M1 Median + CLAHE,0.04741476448649219,13.24086402280124,0.6785791630622184,0.6657800078392029,3.0,0.008226699999795528,131,52
100__M_Right_middle_finger.BMP,0.55,M1 Wiener + CLAHE,0.04219439717002045,13.747452134859277,0.6626273663685778,0.7061532139778137,3.3333333333333335,0.008940800000345916,131,52
100__M_Right_middle_finger.BMP,0.55,M1 CLAHE + Unsharp,0.06671666914720203,11.757656441314069,0.5673723750391253,0.5591053366661072,2.6666666666666665,0.006707000000460539,131,52
100__M_Right_middle_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.039236603200273314,14.063085975008494,0.6712181008879431,0.6993449926376343,3.3333333333333335,0.010411700000076962,131,52
100__M_Right_middle_finger.BMP,0.55,Gabor,0.06838624627931901,11.650312340344644,0.50710380775558,0.6131896376609802,1.3333333333333333,0.48514909999994416,131,52
