severity,filename,relative_path,selection_seed,runtime_seconds,coherence_before,coherence_after,delta_coherence,contrast_before,contrast_after,delta_contrast,fragmentation_before,fragmentation_after,delta_fragmentation,continuity_before,continuity_after,delta_continuity,ridge_coverage_before,ridge_coverage_after,delta_ridge_coverage
Easy,81__F_Right_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\81__F_Right_index_finger_CR.BMP,20261903,0.22771560000001045,0.6286407709121704,0.6683658957481384,0.03972512483596802,0.18758362531661987,0.18270353972911835,-0.004880085587501526,2.1592336683417086,2.1149101163200563,-0.04432355202165228,22.665254237288135,23.504464285714285,0.8392100484261498,0.388671875,0.3896026611328125,0.0009307861328125
Easy,579__M_Right_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\579__M_Right_index_finger_CR.BMP,20261903,0.1482898000001569,0.7031387090682983,0.7772116661071777,0.0740729570388794,0.19414657354354858,0.19614237546920776,0.0019958019256591797,0.5333017302678359,0.7111226040016808,0.17782087373384492,50.385245901639344,48.450450450450454,-1.93479545118889,0.5227033389085053,0.5151272957357177,-0.007576043172787594
Easy,564__M_Left_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\564__M_Left_little_finger_Zcut.BMP,20261903,0.12805180000009386,0.5148417949676514,0.5479387044906616,0.033096909523010254,0.1622348427772522,0.15958945453166962,-0.0026453882455825806,3.0018959342742786,3.1570639305445938,0.1551679962703152,17.265822784810126,17.316239316239315,0.05041653142918889,0.28973388671875,0.2899932861328125,0.0002593994140625
Easy,19__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\19__M_Right_index_finger_Zcut.BMP,20261903,0.13658859999986817,0.6739180088043213,0.7365626096725464,0.0626446008682251,0.18183423578739166,0.17512942850589752,-0.006704807281494141,0.571189215947603,0.6475203778471852,0.07633116189958222,64.16455696202532,65.0,0.8354430379746844,0.4007110595703125,0.400604248046875,-0.0001068115234375
Easy,571__F_Left_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\571__F_Left_middle_finger_Obl.BMP,20261903,0.12590640000007625,0.6716133952140808,0.7306065559387207,0.05899316072463989,0.2042567878961563,0.199460968375206,-0.004795819520950317,6.775607811877242,6.488312150031109,-0.28729566184613287,13.018469656992085,13.662011173184357,0.643541516192272,0.3445587158203125,0.343353271484375,-0.0012054443359375
Easy,411__M_Left_little_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\411__M_Left_little_finger_CR.BMP,20261903,0.13378420000003644,0.5397695899009705,0.5704478025436401,0.030678212642669678,0.17048977315425873,0.16725890338420868,-0.003230869770050049,3.38409475465313,3.281737132855658,-0.10235762179747177,16.5,17.05069124423963,0.5506912442396299,0.2795562744140625,0.2789764404296875,-0.000579833984375
Easy,59__F_Right_middle_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\59__F_Right_middle_finger_Zcut.BMP,20261903,0.1276428000001033,0.5106775760650635,0.5336050391197205,0.022927463054656982,0.12648239731788635,0.12367390096187592,-0.002808496356010437,0.2746649088112503,0.3543376838126735,0.07967277500142322,58.583333333333336,63.04081632653061,4.457482993197274,0.32162544169611307,0.3089287017441436,-0.01269673995196946
Easy,14__M_Right_thumb_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\14__M_Right_thumb_finger_Zcut.BMP,20261903,0.12400079999997615,0.6809715032577515,0.7248632907867432,0.0438917875289917,0.19601121544837952,0.1915554404258728,-0.004455775022506714,4.320651034019884,4.158091478012516,-0.16255955600736716,20.41509433962264,21.36111111111111,0.9460167714884697,0.3637542724609375,0.3632965087890625,-0.000457763671875
Easy,458__M_Right_index_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\458__M_Right_index_finger_Obl.BMP,20261903,0.14603009999996175,0.6303799152374268,0.687982976436615,0.05760306119918823,0.16865476965904236,0.16617423295974731,-0.002480536699295044,1.4579984298478448,1.6202859804755538,0.16228755062770905,36.12408759124087,33.78195488721804,-2.3421327040228306,0.4081573486328125,0.39065417602936986,-0.01750317260344264
Easy,2__F_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\2__F_Right_middle_finger_Obl.BMP,20261903,0.15232450000007702,0.5720208883285522,0.5964639186859131,0.02444303035736084,0.14903447031974792,0.14503055810928345,-0.0040039122104644775,1.011173466808231,0.810126582278481,-0.20104688452975006,47.506024096385545,59.738461538461536,12.232437442075991,0.3018035888671875,0.301361083984375,-0.0004425048828125
