severity,filename,coherence_before,contrast_before,fragmentation_before,continuity_before,ridge_coverage_before,coherence_after,contrast_after,fragmentation_after,continuity_after,ridge_coverage_after,delta_coherence,delta_contrast,delta_fragmentation,delta_continuity,delta_ridge_coverage
Easy,30__F_Left_index_finger_CR.BMP,0.68602055311203,0.1652493178844452,3.556464971255968,22.416666666666668,0.313201904296875,0.7605630159378052,0.15885232388973236,2.684163435729198,29.08053691275168,0.306976318359375,0.07454246282577515,-0.00639699399471283,-0.8723015355267703,6.663870246085011,-0.0062255859375
Easy,44__M_Left_thumb_finger_CR.BMP,0.6969589591026306,0.2136528640985489,1.0501750291715286,49.77,0.392303466796875,0.7338852286338806,0.2100186049938202,0.7775747443723028,56.40229885057471,0.3924713134765625,0.03692626953125,-0.0036342591047286987,-0.2726002847992258,6.632298850574706,0.0001678466796875
Easy,395__M_Right_middle_finger_Zcut.BMP,0.7730686664581299,0.20795466005802155,2.26628895184136,35.19375,0.430908203125,0.8318114280700684,0.20247754454612732,1.6021076616348617,43.68,0.4285888671875,0.05874276161193848,-0.005477115511894226,-0.6641812902064981,8.486249999999998,-0.0023193359375
Easy,597__M_Left_middle_finger_Zcut.BMP,0.5740696787834167,0.20902742445468903,13.28613259909969,7.412403100775194,0.3491363525390625,0.6107714772224426,0.20378056168556213,11.423237621121878,7.791379310344827,0.343292236328125,0.03670179843902588,-0.005246862769126892,-1.8628949779778115,0.3789762095696334,-0.0058441162109375
Easy,132__M_Left_thumb_finger_Zcut.BMP,0.7260597944259644,0.21633991599082947,7.796064843459968,14.755555555555556,0.3699188232421875,0.7661029100418091,0.21021753549575806,6.290880306628338,16.967105263157894,0.3662567138671875,0.04004311561584473,-0.006122380495071411,-1.5051845368316297,2.2115497076023374,-0.003662109375
Easy,455__M_Right_little_finger_CR.BMP,0.6857470273971558,0.19915764033794403,1.8414849734826164,39.48026315789474,0.414306640625,0.7364968061447144,0.19421710073947906,1.5749761922203502,43.63157894736842,0.416595458984375,0.050749778747558594,-0.004940539598464966,-0.2665087812622662,4.151315789473678,0.002288818359375
Easy,262__M_Right_little_finger_Obl.BMP,0.6056452989578247,0.1625915914773941,4.776013797373192,18.5,0.3450469970703125,0.6574695110321045,0.15754026174545288,3.6561441055823076,22.877828054298643,0.34222412109375,0.051824212074279785,-0.005051329731941223,-1.1198696917908846,4.377828054298643,-0.0028228759765625
Easy,243__M_Right_middle_finger_CR.BMP,0.5185324549674988,0.16543146967887878,3.5691232866309757,16.80825958702065,0.4018707275390625,0.5738062262535095,0.15924930572509766,2.347417840375587,19.641509433962263,0.40301513671875,0.05527377128601074,-0.006182163953781128,-1.2217054462553887,2.8332498469416123,0.0011444091796875
Easy,422__M_Left_ring_finger_CR.BMP,0.7430516481399536,0.18320044875144958,8.695652173913043,15.274809160305344,0.3562164306640625,0.8224290609359741,0.1742352545261383,4.47938166966756,23.479338842975206,0.3474578857421875,0.07937741279602051,-0.00896519422531128,-4.216270504245483,8.204529682669863,-0.008758544921875
Easy,28__M_Right_index_finger_CR.BMP,0.7425974011421204,0.20519235730171204,2.077490391606939,35.868263473053894,0.45999108081419426,0.8105183243751526,0.20093627274036407,1.712756467439786,44.712,0.456604265441452,0.06792092323303223,-0.004256084561347961,-0.364733924167153,8.84373652694611,-0.003386815372742269
