filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds,outlier_group,retained
134__M_Left_little_finger.BMP,371,20261274,27.288013212539465,31.409271117194038,4.121257904654573,0.0018672337076898694,0.000722891117299434,-0.0011443425903904353,0.724975106641531,0.9187328848748207,0.19375777823328977,True,0.08088319999978921,highest_10_enhanced_psnr,True
137__M_Right_ring_finger.BMP,408,20261311,27.46553438355202,31.349330219864783,3.883795836312764,0.0017924479845956348,0.0007329375599412078,-0.0010595104246544271,0.7436814484277368,0.9368483852701187,0.19316693684238195,True,0.08194670000011683,highest_10_enhanced_psnr,True
118__F_Right_ring_finger.BMP,198,20261101,27.399869618469506,31.337361871908488,3.9374922534389825,0.0018197554895008393,0.000734960185209514,-0.0010847953042913254,0.7459698609837592,0.9406138746395111,0.1946440136557519,True,0.08385180000004766,highest_10_enhanced_psnr,True
130__F_Right_ring_finger.BMP,338,20261241,27.324155633517524,31.274822798143358,3.950667164625834,0.0018517588829256872,0.000745620294381864,-0.001106138588543823,0.7962622161409557,0.9532624494313001,0.1570002332903444,True,0.08051590000013675,highest_10_enhanced_psnr,True
127__F_Left_little_finger.BMP,291,20261194,28.31323292955153,31.252966114754216,2.9397331852026873,0.0014746084120321312,0.0007493822265684997,-0.0007252261854636315,0.6317532118041217,0.82725852158463,0.19550530978050829,True,0.08930380000037985,highest_10_enhanced_psnr,True
138__M_Right_middle_finger.BMP,417,20261320,27.868086471267944,31.16772819615733,3.299641724889387,0.001633771639365919,0.0007642354522553889,-0.00086953618711053,0.7460712662625313,0.9437185012514592,0.1976472349889279,True,0.07981530000006387,highest_10_enhanced_psnr,True
127__F_Left_ring_finger.BMP,293,20261196,28.07372784917022,31.111540617255386,3.0378127680851676,0.001558214405688545,0.0007741871137678265,-0.0007840272919207186,0.6531561674475074,0.8529332498406171,0.19977708239310976,True,0.08431480000035663,highest_10_enhanced_psnr,True
120__M_Right_little_finger.BMP,226,20261129,27.502436120926475,31.082568532961588,3.5801324120351126,0.001777282186018894,0.0007793690346348733,-0.0009979131513840206,0.7030821603148878,0.9028614682686329,0.1997793079537451,True,0.08109869999998409,highest_10_enhanced_psnr,True
130__F_Right_little_finger.BMP,336,20261239,27.477050614790627,31.066214565434272,3.589163950643645,0.0017877012282169205,0.0007823093906767399,-0.0010053918375401804,0.782272895248115,0.9385490837390423,0.15627618849092728,True,0.08175749999963955,highest_10_enhanced_psnr,True
136__F_Right_thumb_finger.BMP,399,20261302,27.789473794914134,29.040156561913584,1.25068276699945,0.00166361420697795,0.0012473385472359887,-0.0004162756597419614,0.703886962396115,0.6953224179074764,-0.008564544488638637,True,0.08177310000019133,smallest_10_delta_psnr,True
104__M_Left_thumb_finger.BMP,44,20260947,27.197881445998743,28.510634733522053,1.3127532875233108,0.0019063904571996076,0.0014090828419765224,-0.0004973076152230852,0.8948993438842595,0.9401386968823672,0.04523935299810766,True,0.08096269999987271,smallest_10_delta_psnr,True
13__F_Right_thumb_finger.BMP,439,20261342,27.163656415587035,28.496818591801848,1.3331621762148131,0.0019214733193605015,0.0014135726728810483,-0.0005079006464794532,0.8880043315437436,0.9493577396759987,0.061353408132255094,True,0.08228550000012547,smallest_10_delta_psnr,True
