Controlled index,Image,Path,Severity,Seed,Protocol source,Experiment,Pipeline ID,Pipeline,Is finalist,Final output used for PSNR/MSE/SSIM,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s)
9,412__M_Left_middle_finger.BMP,data\SOCOFing\Real\412__M_Left_middle_finger.BMP,0.35,51,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.028340881670188205,15.475866432014183,0.7406403490237036,0.6803148984909058,0.013698099995963275
9,412__M_Left_middle_finger.BMP,data\SOCOFing\Real\412__M_Left_middle_finger.BMP,0.35,51,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.052625227755285,12.788060115809888,0.6375860575245338,0.6050033569335938,0.010544200020376593
10,480__M_Right_thumb_finger.BMP,data\SOCOFing\Real\480__M_Right_thumb_finger.BMP,0.55,52,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.028699726523408173,15.42122241591465,0.5122240778470925,0.4813656508922577,8.169998181983829e-05
10,480__M_Right_thumb_finger.BMP,data\SOCOFing\Real\480__M_Right_thumb_finger.BMP,0.55,52,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.0915686575406879,10.382531528214642,0.5347865252199484,0.4871522784233093,0.0048819000367075205
10,480__M_Right_thumb_finger.BMP,data\SOCOFing\Real\480__M_Right_thumb_finger.BMP,0.55,52,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.06644798679408845,11.775181725461266,0.6082156270182865,0.589369535446167,0.006366999994497746
10,480__M_Right_thumb_finger.BMP,data\SOCOFing\Real\480__M_Right_thumb_finger.BMP,0.55,52,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.08139851343169373,10.893835264904999,0.5770501392650921,0.5519682168960571,0.010859400033950806
11,514__F_Left_middle_finger.BMP,data\SOCOFing\Real\514__F_Left_middle_finger.BMP,0.75,53,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.044556419395196015,13.510897168331795,0.3285024152864841,0.3337242603302002,8.919998072087765e-05
11,514__F_Left_middle_finger.BMP,data\SOCOFing\Real\514__F_Left_middle_finger.BMP,0.75,53,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.1150540832668601,9.390979636203078,0.32929890592914113,0.3410833179950714,0.0045065999729558825
11,514__F_Left_middle_finger.BMP,data\SOCOFing\Real\514__F_Left_middle_finger.BMP,0.75,53,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.06025201897778837,12.200283957867605,0.4856526508992012,0.5357609987258911,0.014727299916557968
11,514__F_Left_middle_finger.BMP,data\SOCOFing\Real\514__F_Left_middle_finger.BMP,0.75,53,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.0972886255178503,10.119379322248975,0.39777648432668405,0.4238201379776001,0.009733299957588315
12,457__M_Right_index_finger.BMP,data\SOCOFing\Real\457__M_Right_index_finger.BMP,0.35,54,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.013251318050460982,18.777409222122316,0.6898256189738503,0.6012032628059387,8.269998943433166e-05
12,457__M_Right_index_finger.BMP,data\SOCOFing\Real\457__M_Right_index_finger.BMP,0.35,54,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.10242847294880647,9.895793018983024,0.49528002725000364,0.5779993534088135,0.0050475000170990825
12,457__M_Right_index_finger.BMP,data\SOCOFing\Real\457__M_Right_index_finger.BMP,0.35,54,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.051129736648577485,12.91326444166953,0.6667759390146009,0.7239694595336914,0.011569400085136294
12,457__M_Right_index_finger.BMP,data\SOCOFing\Real\457__M_Right_index_finger.BMP,0.35,54,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.09462768705364819,10.239817750638327,0.5259837384379178,0.6383566856384277,0.009648500010371208
13,195__M_Right_index_finger.BMP,data\SOCOFing\Real\195__M_Right_index_finger.BMP,0.55,55,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.02774234539963244,15.568568254884044,0.5394321414318124,0.5299065709114075,8.58000130392611e-05
13,195__M_Right_index_finger.BMP,data\SOCOFing\Real\195__M_Right_index_finger.BMP,0.55,55,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.10610860853173598,9.742493806022472,0.49056386091713183,0.5317983627319336,0.004767600039485842
13,195__M_Right_index_finger.BMP,data\SOCOFing\Real\195__M_Right_index_finger.BMP,0.55,55,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.06327172026461568,11.987903575548607,0.59707131577343,0.6824489831924438,0.01277000003028661
13,195__M_Right_index_finger.BMP,data\SOCOFing\Real\195__M_Right_index_finger.BMP,0.55,55,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.0958236736308645,10.185271834358138,0.5269354856253194,0.6032270193099976,0.010345300019253045
14,183__M_Left_ring_finger.BMP,data\SOCOFing\Real\183__M_Left_ring_finger.BMP,0.75,56,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.05116287396425381,12.910450679510072,0.32278156574308914,0.3605555295944214,8.949998300522566e-05
14,183__M_Left_ring_finger.BMP,data\SOCOFing\Real\183__M_Left_ring_finger.BMP,0.75,56,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.11266178908764829,9.482233563784606,0.3912517840518822,0.3746345639228821,0.005155000020749867
14,183__M_Left_ring_finger.BMP,data\SOCOFing\Real\183__M_Left_ring_finger.BMP,0.75,56,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.06012742053139496,12.209274270044997,0.5332753383793116,0.5479711294174194,0.015755599946714938
14,183__M_Left_ring_finger.BMP,data\SOCOFing\Real\183__M_Left_ring_finger.BMP,0.75,56,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.09475503608640008,10.233976986537032,0.45047352583471406,0.4504792392253876,0.009269399975892156
15,494__F_Left_thumb_finger.BMP,data\SOCOFing\Real\494__F_Left_thumb_finger.BMP,0.35,57,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.013553076706866908,18.679621036724463,0.7133231194557166,0.6164482831954956,8.650001836940646e-05
15,494__F_Left_thumb_finger.BMP,data\SOCOFing\Real\494__F_Left_thumb_finger.BMP,0.35,57,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.08393689781166667,10.760470857341444,0.5666499508601844,0.6027617454528809,0.004595200007315725
15,494__F_Left_thumb_finger.BMP,data\SOCOFing\Real\494__F_Left_thumb_finger.BMP,0.35,57,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.04922789964646882,13.077886934047314,0.7014122962010272,0.7190383076667786,0.011829999973997474
15,494__F_Left_thumb_finger.BMP,data\SOCOFing\Real\494__F_Left_thumb_finger.BMP,0.35,57,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.07788445603796415,11.08549208958153,0.592717275151111,0.6562193632125854,0.010139300022274256
16,159__M_Right_thumb_finger.BMP,data\SOCOFing\Real\159__M_Right_thumb_finger.BMP,0.55,58,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.02976756429694738,15.26256699638508,0.3952516253058921,0.37059158086776733,7.740000728517771e-05
16,159__M_Right_thumb_finger.BMP,data\SOCOFing\Real\159__M_Right_thumb_finger.BMP,0.55,58,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.15738816380853132,8.030279313538625,0.2279628539521605,0.3572271466255188,0.00474110001232475
16,159__M_Right_thumb_finger.BMP,data\SOCOFing\Real\159__M_Right_thumb_finger.BMP,0.55,58,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.06665111522782483,11.761925794348434,0.4741648602674671,0.539721667766571,0.013605000043753535
16,159__M_Right_thumb_finger.BMP,data\SOCOFing\Real\159__M_Right_thumb_finger.BMP,0.55,58,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.13996212174607237,8.539894824821666,0.25950190205336415,0.4187929630279541,0.009347999992314726
