Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,148__M_Right_ring_finger.BMP,Higher quality,0.55,4,Team Final Output,0.027866946855910762,15.54910610628821,0.5471095111107072,0.5563859343528748,0.32563680002931505,0.0,0.0,0.0
R1->G7,112__M_Left_middle_finger.BMP,Medium quality,0.75,0,Degraded,0.03650229166639555,14.376798690551027,0.2948518343508618,0.2769134044647217,0.0,,,
R1->G7,112__M_Left_middle_finger.BMP,Medium quality,0.75,1,Common Preprocessing P0,0.03650229166639555,14.376798690551027,0.2948518343508618,0.2769134044647217,0.0,0.0,0.0,0.0
R1->G7,112__M_Left_middle_finger.BMP,Medium quality,0.75,2,M1 Wiener deconvolution,0.034800066829743986,14.584199220372936,0.3310282695820731,0.3063080906867981,0.0020892000175081193,0.20740052982190882,0.03617643523121128,0.029394686222076416
R1->G7,112__M_Left_middle_finger.BMP,Medium quality,0.75,3,M2 Coherence-guided directional diffusion,0.034544349876125306,14.616229763153948,0.3363331483799094,0.3248506784439087,0.3248301999992691,0.03203054278101192,0.00530487879783631,0.018542587757110596
R1->G7,112__M_Left_middle_finger.BMP,Medium quality,0.75,4,Team Final Output,0.034544349876125306,14.616229763153948,0.3363331483799094,0.3248506784439087,0.3269194000167772,0.0,0.0,0.0
R1->G7,412__M_Left_middle_finger.BMP,Medium quality,0.35,0,Degraded,0.009071834659731591,20.423048736871216,0.7047279850341517,0.544333815574646,0.0,,,
R1->G7,412__M_Left_middle_finger.BMP,Medium quality,0.35,1,Common Preprocessing P0,0.009071834659731591,20.423048736871216,0.7047279850341517,0.544333815574646,0.0,0.0,0.0,0.0
R1->G7,412__M_Left_middle_finger.BMP,Medium quality,0.35,2,M1 Wiener deconvolution,0.008439588990882319,20.73678703058967,0.7331368261644412,0.5624552369117737,0.002559599990490824,0.31373829371845474,0.02840884113028952,0.018121421337127686
R1->G7,412__M_Left_middle_finger.BMP,Medium quality,0.35,3,M2 Coherence-guided directional diffusion,0.008884386726300488,20.513725454136512,0.7257587819392383,0.5880825519561768,0.333165799966082,-0.2230615764531585,-0.00737804422520294,0.025627315044403076
R1->G7,412__M_Left_middle_finger.BMP,Medium quality,0.35,4,Team Final Output,0.008884386726300488,20.513725454136512,0.7257587819392383,0.5880825519561768,0.3357253999565728,0.0,0.0,0.0
R1->G7,480__M_Right_thumb_finger.BMP,Medium quality,0.55,0,Degraded,0.028699726523408173,15.42122241591465,0.5122240778470925,0.4813656508922577,0.0,,,
R1->G7,480__M_Right_thumb_finger.BMP,Medium quality,0.55,1,Common Preprocessing P0,0.028699726523408173,15.42122241591465,0.5122240778470925,0.4813656508922577,0.0,0.0,0.0,0.0
R1->G7,480__M_Right_thumb_finger.BMP,Medium quality,0.55,2,M1 Wiener deconvolution,0.026720488137116447,15.731556123147675,0.5500364851517571,0.514381468296051,0.0021188000100664794,0.3103337072330241,0.03781240730466462,0.033015817403793335
R1->G7,480__M_Right_thumb_finger.BMP,Medium quality,0.55,3,M2 Coherence-guided directional diffusion,0.027205119648012505,15.653493597284005,0.540389536958107,0.5494205355644226,0.3229447000194341,-0.07806252586367002,-0.009646948193650084,0.03503906726837158
R1->G7,480__M_Right_thumb_finger.BMP,Medium quality,0.55,4,Team Final Output,0.027205119648012505,15.653493597284005,0.540389536958107,0.5494205355644226,0.3250635000295006,0.0,0.0,0.0
R1->G7,514__F_Left_middle_finger.BMP,Medium quality,0.75,0,Degraded,0.044556419395196015,13.510897168331795,0.3285024152864841,0.3337242603302002,0.0,,,
R1->G7,514__F_Left_middle_finger.BMP,Medium quality,0.75,1,Common Preprocessing P0,0.044556419395196015,13.510897168331795,0.3285024152864841,0.3337242603302002,0.0,0.0,0.0,0.0
R1->G7,514__F_Left_middle_finger.BMP,Medium quality,0.75,2,M1 Wiener deconvolution,0.042408422920845144,13.72547877729152,0.37211069569522676,0.382784903049469,0.0021265000104904175,0.2145816089597261,0.04360828040874265,0.0490606427192688
R1->G7,514__F_Left_middle_finger.BMP,Medium quality,0.75,3,M2 Coherence-guided directional diffusion,0.0423907625842862,13.727287706653588,0.37122450661230566,0.4098048806190491,0.3279690999770537,0.0018089293620668911,-0.0008861890829210961,0.027019977569580078
R1->G7,514__F_Left_middle_finger.BMP,Medium quality,0.75,4,Team Final Output,0.0423907625842862,13.727287706653588,0.37122450661230566,0.4098048806190491,0.3300955999875441,0.0,0.0,0.0
R1->G7,457__M_Right_index_finger.BMP,Medium quality,0.35,0,Degraded,0.013251318050460982,18.777409222122316,0.6898256189738503,0.6012032628059387,0.0,,,
R1->G7,457__M_Right_index_finger.BMP,Medium quality,0.35,1,Common Preprocessing P0,0.013251318050460982,18.777409222122316,0.6898256189738503,0.6012032628059387,0.0,0.0,0.0,0.0
