Image,Quality band,Severity,Technique ID,Technique,Detected ridge endings,Detected bifurcations,Filtered ridge endings,Filtered bifurcations,Skeleton pixels,Connected components,Counts are accuracy
455__M_Left_little_finger.BMP,Lower quality,0.35,T1,Standard skeletonisation,185,52,161,38,2853,72,False
455__M_Left_little_finger.BMP,Lower quality,0.35,T2,Zhang-Suen thinning,176,43,156,31,2996,72,False
455__M_Left_little_finger.BMP,Lower quality,0.35,T3,Guo-Hall thinning,193,60,162,40,2928,72,False
455__M_Left_little_finger.BMP,Lower quality,0.35,T4,Morphological skeleton / medial axis,206,73,156,48,3112,72,False
466__F_Left_little_finger.BMP,Lower quality,0.55,T1,Standard skeletonisation,142,61,123,40,2535,43,False
466__F_Left_little_finger.BMP,Lower quality,0.55,T2,Zhang-Suen thinning,133,52,115,37,2614,43,False
466__F_Left_little_finger.BMP,Lower quality,0.55,T3,Guo-Hall thinning,156,75,130,51,2619,43,False
466__F_Left_little_finger.BMP,Lower quality,0.55,T4,Morphological skeleton / medial axis,173,91,138,59,2741,43,False
371__M_Right_index_finger.BMP,Lower quality,0.75,T1,Standard skeletonisation,170,16,143,13,2195,85,False
371__M_Right_index_finger.BMP,Lower quality,0.75,T2,Zhang-Suen thinning,163,13,137,10,2311,85,False
371__M_Right_index_finger.BMP,Lower quality,0.75,T3,Guo-Hall thinning,178,22,146,19,2346,85,False
371__M_Right_index_finger.BMP,Lower quality,0.75,T4,Morphological skeleton / medial axis,199,40,157,34,2461,85,False
