filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds
132__M_Left_middle_finger.BMP,352,20261255,27.287969441437244,29.384127142718516,2.096157701281271,0.0018672525270147186,0.0011523576406373371,-0.0007148948863773814,0.888711917201221,0.9493319883586169,0.06062007115739587,True,0.0828537000002143
132__M_Left_ring_finger.BMP,353,20261256,27.183004144337488,29.448553060574156,2.2655489162366678,0.0019129322350295989,0.0011353890303579897,-0.0007775432046716092,0.86890312518996,0.9344113287537098,0.06550820356374976,True,0.08123939999995855
132__M_Left_thumb_finger.BMP,354,20261257,27.34642176525561,29.348878022477123,2.002456257221514,0.0018422892734610366,0.0011617487068957683,-0.0006805405665652683,0.8886366443384289,0.9313491458904744,0.04271250155204542,True,0.08064809999996214
132__M_Right_index_finger.BMP,355,20261258,27.27760335822653,29.219780340273523,1.9421769820469947,0.0018717147558928921,0.0011968010622043117,-0.0006749136936885804,0.8709473941215873,0.9412218473746776,0.07027445325309034,True,0.08304129999987708
132__M_Right_little_finger.BMP,356,20261259,27.339056748137367,29.306256049698458,1.9671993015610916,0.001845416184859883,0.0011732063232256975,-0.0006722098616341854,0.8223577449122668,0.9258173178788424,0.1034595729665756,True,0.08171479999964504
132__M_Right_middle_finger.BMP,357,20261260,27.282963150651398,29.28236680261709,1.999403651965693,0.0018694062267503653,0.001179677563956178,-0.0006897286627941873,0.8555484314528108,0.9408136085200309,0.08526517706722014,True,0.08255839999992531
132__M_Right_ring_finger.BMP,358,20261261,27.208228629178063,29.39734104623527,2.1891124170572063,0.0019018538369677688,0.0011488567900317225,-0.0007529970469360462,0.8310326369662285,0.9138337364174127,0.08280109945118419,True,0.08075650000000678
132__M_Right_thumb_finger.BMP,359,20261262,27.227467079960682,28.870830137600652,1.64336305763997,0.001893447605292692,0.0012969313437312846,-0.0005965162615614074,0.889553372059226,0.9425364417552948,0.05298306969606881,True,0.08194729999968331
133__M_Left_index_finger.BMP,360,20261263,27.104203569452814,30.186881409149432,3.0826778396966183,0.0019479582433377008,0.0009578816620486279,-0.0009900765812890728,0.8568074424543977,0.9492354937772751,0.09242805132287746,True,0.08029739999983576
133__M_Left_little_finger.BMP,361,20261264,27.176202417684785,30.375256121486743,3.199053703801958,0.0019159305315416277,0.0009172218414146695,-0.0009987086901269582,0.8440481894179582,0.955127085000515,0.11107889558255679,True,0.08002249999981359
133__M_Left_middle_finger.BMP,362,20261265,27.1359912019247,30.19937203770272,3.0633808357780197,0.0019337524627483333,0.0009551306818807316,-0.0009786217808676017,0.8477537391204238,0.9510761751815081,0.10332243606108427,True,0.08071060000020225
133__M_Left_ring_finger.BMP,363,20261266,27.113120828789054,30.19583250479759,3.082711676008536,0.0019439626531099904,0.0009559094379200659,-0.0009880532151899245,0.853630388022542,0.9535426441913843,0.09991225616884236,True,0.08042329999989306
133__M_Left_thumb_finger.BMP,364,20261267,27.066084213474987,29.875542658963617,2.80945844548863,0.0019651313255229386,0.0010290719347247886,-0.0009360593907981501,0.8787501956208348,0.9553553099027872,0.07660511428195238,True,0.0812949999999546
133__M_Right_index_finger.BMP,365,20261268,28.09669957086581,30.578681980778452,2.481982409912643,0.001549994092388068,0.0008752493601004853,-0.0006747447322875827,0.7533580137879551,0.9012012907007932,0.14784327691283816,True,0.08196129999987534
133__M_Right_little_finger.BMP,366,20261269,26.99496526208319,30.042695966966704,3.047730704883513,0.0019975767463978073,0.0009902170576766743,-0.001007359688721133,0.8533938137560487,0.9464271117670536,0.0930332980110049,True,0.08316359999980705
133__M_Right_middle_finger.BMP,367,20261270,27.50227421601176,29.6236191225511,2.121344906539342,0.0017773484443059499,0.0010905311812329332,-0.0006868172630730167,0.8547975900802314,0.9004377470313311,0.045640156951099686,True,0.08256669999991573
133__M_Right_ring_finger.BMP,368,20261271,27.62747196714023,30.208398405084694,2.5809264379444627,0.0017268427965367894,0.0009531476018080141,-0.0007736951947287752,0.8239456582482159,0.9392497758264542,0.11530411757823833,True,0.08159109999996872
