Category,Pipeline ID,Pipeline,Purpose,Final output domain,Has Closing stage,Is baseline,Is grayscale finalist candidate,Images,Ridge coherence mean,Ridge coherence std,Local contrast mean,Local contrast std,Foreground/background separation proxy mean,Ridge coverage mean,Fragmentation mean,Small components mean,Ridge continuity mean,Runtime mean,Delta coherence vs P0 mean,Delta contrast vs P0 mean,Delta fragmentation vs P0 mean,Delta continuity vs P0 mean,Delta coherence vs CLAHE mean,Delta contrast vs CLAHE mean,Delta fragmentation vs CLAHE mean,Delta continuity vs CLAHE mean
Medium,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,8,0.7302623465657234,0.0510623580642153,0.20056061632931232,0.03196943952077896,0.20056061632931232,0.39226722717285156,1.4767621305639282,0.625,35.00119936383077,0.06268502499733586,0.07547232508659363,0.012437807396054268,-0.5757915498145506,1.9989088514266191,0.02765795588493347,-0.019246919080615044,-0.5831560676886618,4.131799760076017
Hard,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,8,0.6485046073794365,0.08647256872986087,0.1844979263842106,0.0321918344826605,0.1844979263842106,0.3378124237060547,3.807058600097692,1.75,19.431635982332192,0.00012766249710693955,0.0,0.0,0.0,0.0,-0.04564233869314194,-0.034694598987698555,0.6607671661582523,-0.47549380993432444
Hard,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,8,0.6941469460725784,0.07082688745068898,0.21919252537190914,0.025585185350117844,0.21919252537190914,0.3780403137207031,3.1462914339394397,0.75,19.907129792266517,0.004991837500710972,0.04564233869314194,0.034694598987698555,-0.6607671661582523,0.47549380993432444,0.0,0.0,0.0,0.0
Hard,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,8,0.7202835083007812,0.05838176428436842,0.16228332184255123,0.018032446695990974,0.16228332184255123,0.32730674743652344,4.700193212218005,1.875,17.315582145369206,0.9004474750108784,0.07177890092134476,-0.022214604541659355,0.8931346121203125,-2.1160538369629878,0.02613656222820282,-0.05690920352935791,1.5539017782785647,-2.591547646897312
Hard,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,8,0.6996937021613121,0.0705142362787908,0.20418191328644753,0.02138624571236905,0.20418191328644753,0.37138938903808594,3.308045874450844,0.75,19.167439827467913,0.2959923875168897,0.05118909478187561,0.01968398690223694,-0.49901272564684807,-0.2641961548642795,0.005546756088733673,-0.015010612085461617,0.1617544405114042,-0.7396899647986039
Hard,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,8,0.7210296988487244,0.06605502291652483,0.19974634610116482,0.02325639037088764,0.19974634610116482,0.3724956512451172,3.3516131434219085,1.5,19.110582283175884,0.010238175011181738,0.07252509146928787,0.015248419716954231,-0.45544545667578323,-0.32105369915630866,0.026882752776145935,-0.019446179270744324,0.20532170948246903,-0.7965475090906331
Hard,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,8,0.739038847386837,0.05832711085585218,0.20951087214052677,0.026250508116512885,0.20951087214052677,0.3734569549560547,3.1850677762670876,1.0,19.413646979969528,0.013854649972927291,0.09053424000740051,0.025012945756316185,-0.6219908238306044,-0.017989002362662543,0.044891901314258575,-0.00968165323138237,0.03877634232764776,-0.493482812296987
Hard,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,8,0.6996937021613121,0.0705142362787908,0.20418191328644753,0.02138624571236905,0.20418191328644753,0.3809700012207031,1.9085656603630772,0.5,23.057298067941623,0.3565645125199808,0.05118909478187561,0.01968398690223694,-1.8984929397346149,3.625662085609432,0.005546756088733673,-0.015010612085461617,-1.2377257735763627,3.1501682756751075
Hard,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,8,0.7210296988487244,0.06605502291652483,0.19974634610116482,0.02325639037088764,0.19974634610116482,0.37982177734375,2.1504039607109124,0.875,22.487208778899543,0.06417593750666128,0.07252509146928787,0.015248419716954231,-1.6566546393867794,3.0555727965673505,0.026882752776145935,-0.019446179270744324,-0.9958874732285271,2.5800789866330263
Overall,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,24,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.36491181271998246,3.215413666190462,2.0,25.461334624627174,0.00013412500023453808,0.0,0.0,0.0,0.0,-0.04515659064054489,-0.031772430365284286,0.40219628840908134,0.6423105687088945
Overall,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,24,0.6985052302479744,0.06832514816135665,0.2232945623497168,0.02812803763422196,0.2232945623497168,0.38567225138346356,2.8132173777813807,0.8333333333333334,24.81902405591828,0.005132579164637718,0.04515659064054489,0.031772430365284286,-0.40219628840908134,-0.6423105687088945,0.0,0.0,0.0,0.0
Overall,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,24,0.7260972807804743,0.05313552568641727,0.16443690533439317,0.01910216459782254,0.16443690533439317,0.33560434977213544,3.999140106479293,1.4166666666666667,20.98086423614281,0.8835040791576224,0.07274864117304485,-0.027085226650039356,0.7837264402888304,-4.480470388484366,0.02759205053249995,-0.05885765701532364,1.1859227286979117,-3.838159819775472
Overall,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,24,0.7061660413940748,0.06806033818849386,0.20759538374841213,0.024504727344216094,0.20759538374841213,0.3799978892008464,2.894931049860126,1.0833333333333333,23.99656160914598,0.28966718749628245,0.052817401786645256,0.016073251763979595,-0.32048261633033626,-1.464773015481195,0.007660811146100362,-0.01569917860130469,0.0817136720787451,-0.8224624467723007
Overall,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,24,0.7255392149090767,0.06418016828539112,0.2037259228527546,0.02571871726387192,0.2037259228527546,0.381411870320638,2.9321017125906788,1.375,24.09339069225987,0.011270512501747968,0.07219057530164719,0.012203790868322054,-0.2833119535997835,-1.3679439323673097,0.027033984661102295,-0.01956863949696223,0.11888433480929787,-0.7256333636584152
Overall,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,24,0.7475145608186722,0.05122796183126103,0.21358207302788892,0.027785041891857903,0.21358207302788892,0.3826891581217448,2.8435063101043982,0.875,23.54836115969449,0.011583179157848159,0.09416592121124268,0.022059941043456394,-0.3719073560860642,-1.9129734649326877,0.049009330570697784,-0.009712489321827888,0.0302889323230172,-1.270662896223793
Overall,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,24,0.7061660413940748,0.06806033818849386,0.20759538374841213,0.024504727344216094,0.20759538374841213,0.3891366322835286,1.7180021500804328,0.7083333333333334,29.54653269657575,0.3469454958418889,0.052817401786645256,0.016073251763979595,-1.4974115161100292,4.085198071948572,0.007660811146100362,-0.01569917860130469,-1.0952152277009481,4.727508640657466
Overall,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,24,0.7255392149090767,0.06418016828539112,0.2037259228527546,0.02571871726387192,0.2037259228527546,0.38846778869628906,1.9165419016285317,0.7916666666666666,28.24268689515583,0.06336782917060191,0.07219057530164719,0.012203790868322054,-1.2988717645619305,2.781352270528655,0.027033984661102295,-0.01956863949696223,-0.8966754761528493,3.4236628392375494
