image,candidate,mse,psnr,ssim
352__M_Left_ring_finger.BMP,C0 NLM,0.0013020903715608443,28.85358872520388,0.9530143729838133
352__M_Left_ring_finger.BMP,C1 TV -> NLM,0.0012662920845575706,28.974661078410154,0.947938025053978
352__M_Left_ring_finger.BMP,C2 NLM -> Modified Gabor,0.0030166774059357266,25.204711294381088,0.9292875071834102
352__M_Left_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0017511189712992343,27.566843468785546,0.9448454016305208
352__M_Left_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.002490867808333372,26.036493200888387,0.9302074716200829
399__M_Right_ring_finger.BMP,C0 NLM,0.0008344819015862363,30.785830779499392,0.9040560610564947
399__M_Right_ring_finger.BMP,C1 TV -> NLM,0.0011796116398701477,29.282609506790436,0.8726035992652178
399__M_Right_ring_finger.BMP,C2 NLM -> Modified Gabor,0.00197704335896117,27.039838059766225,0.8792742709484472
399__M_Right_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0009899402560885236,30.04391014729736,0.8962743194031716
399__M_Right_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0015716951326859665,28.036316917779274,0.8579454309485555
576__M_Left_middle_finger.BMP,C0 NLM,0.001394595682737294,28.55551683578449,0.9523853311181069
576__M_Left_middle_finger.BMP,C1 TV -> NLM,0.001438380809317233,28.421261198705988,0.9465382854058743
576__M_Left_middle_finger.BMP,C2 NLM -> Modified Gabor,0.0035620009665918327,24.483059670217248,0.9270201184892766
576__M_Left_middle_finger.BMP,C3 NLM -> Directional Diffusion,0.0020024460391280313,26.98439178227339,0.9407812451397181
576__M_Left_middle_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0030469778168243167,25.161307075974314,0.91967594595325
506__M_Right_ring_finger.BMP,C0 NLM,0.0012803398035443943,28.92674752837074,0.9426693833119869
506__M_Right_ring_finger.BMP,C1 TV -> NLM,0.0012377897918983236,29.073531032723125,0.9363291428934336
506__M_Right_ring_finger.BMP,C2 NLM -> Modified Gabor,0.0030253871329506154,25.19219044500208,0.9110589835520312
506__M_Right_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0014575922178975923,28.363639590683572,0.9376890432884694
506__M_Right_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0019219030780779276,27.162685176650196,0.9248016457597613
