Category,Method ID,Technique,Member,Is member technique,Is baseline,Fixed parameters,Images,Coherence_mean,Coherence_std,Local_contrast_mean,Local_contrast_std,Ridge_coverage_mean,Fragmentation_mean,Fragmentation_std,Small_components_mean,Ridge_continuity_mean,Runtime_mean,Delta_coherence_vs_P0_mean,Delta_contrast_vs_P0_mean,Delta_fragmentation_vs_P0_mean,Delta_continuity_vs_P0_mean,Delta_coherence_vs_NLM_mean,Delta_contrast_vs_NLM_mean,Delta_fragmentation_vs_NLM_mean,Delta_continuity_vs_NLM_mean
Medium,BL_CLAHE_c0.005,CLAHE,Baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",3,0.7025814851125082,0.05549403557442721,0.20598804454008732,0.027555905685968295,0.372833251953125,2.8749109030530398,0.7843337800015115,2.0,28.38679770337131,0.0063853333704173,0.014098008473714166,0.012059509754180834,-0.14440910741435323,2.006969344595582,-0.03587257862091057,0.016885846853256167,-0.0196397521118318,0.7624733102816729
Medium,BL_CONTRAST_1_99,Contrast Stretching,Baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",3,0.688483476638794,0.05535535678018638,0.19392853478590646,0.0233765322723377,0.3704376220703125,3.0193200104673927,0.7412402311995292,1.3333333333333333,26.37982835877573,0.0010416333486015,0.0,0.0,0.0,0.0,-0.0499705870946248,0.0048263370990753,0.12476935530252142,-1.244496034313909
Medium,BL_ORD_GABOR,Ordinary Gabor,Baseline,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",3,0.7492010394732157,0.025894517533362544,0.14350328842798862,0.01659086841507183,0.3137359619140625,4.058194832227187,0.4978284775341169,1.6666666666666667,22.80726128835373,0.9311990000229949,0.060717562834421736,-0.05042524635791773,1.0388748217597945,-3.5725670704220014,0.010746975739796933,-0.04559890925884239,1.1636441770623158,-4.817063104735911
Medium,BL_WIENER,Wiener Deconvolution,Baseline,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",3,0.7096866766611735,0.05137033870519796,0.20371356606483457,0.024709483998866105,0.3763275146484375,2.851088153855613,0.7880428529687923,1.6666666666666667,28.570496771870847,0.002212733379565133,0.021203200022379503,0.009785031278928066,-0.16823185661178006,2.190668413095119,-0.028767387072245233,0.014611368378003434,-0.04346250130925857,0.9461723787812097
Medium,M1_NLM_h0.06,Non-Local Means Denoising,Member 1,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",3,0.7384540637334188,0.05554828103366649,0.18910219768683115,0.022937977227220824,0.3684806585087241,2.894550655164871,0.7530201393050868,1.6666666666666667,27.624324393089637,0.09513516665901983,0.0499705870946248,-0.0048263370990753,-0.12476935530252142,1.244496034313909,0.0,0.0,0.0,0.0
Medium,M2_MOD_GABOR,Literature-Inspired Modified / Orientation-Adaptive Gabor,Member 2,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",3,0.7022605935732523,0.04383294559831841,0.17759919663270315,0.02176105438137169,0.3625844319661458,3.3591396541201934,0.826752545413325,1.0,24.34254364496655,1.9445973000256345,0.0137771169344584,-0.01632933815320327,0.3398196436528009,-2.0372847138091763,-0.036193470160166365,-0.011503001054127932,0.4645889989553223,-3.281780748123085
Medium,M3_TV_w0.02,Total Variation Restoration,Member 3,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",3,0.7104749878247579,0.051333613285127803,0.1850473086039225,0.02211227223563709,0.3682047526041667,3.1795299453216317,0.749848868292637,2.0,25.35049891816215,0.0041043000140537,0.021991511185963902,-0.008881226181983901,0.16020993485423965,-1.02932944061358,-0.027979075908660833,-0.0040548890829086,0.2849792901567611,-2.2738254749274893
Medium,M4_COH_DIFF,Coherence-Guided Directional Diffusion,Member 4,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",3,0.6961100101470947,0.053826836886455544,0.17868124445279435,0.019546124664648695,0.3632100423177083,3.1595401905486504,0.6372940545433511,1.0,24.720367583138607,0.30681986668302363,0.0076265335083007335,-0.015247290333112035,0.14022018008125797,-1.6594607756371242,-0.042344053586324,-0.010420953234036733,0.2649895353837794,-2.9039568099510333
Hard,B0,Degraded input / P0,Baseline,False,True,"{""operation"": ""P0 only; clip/float range only""}",3,0.6523401538530985,0.09883338575784471,0.19327992697556806,0.026738428245459998,0.3662618001302083,2.1703590029420283,0.1963153374225969,0.3333333333333333,29.595961633275067,0.00014006664666033332,0.0,0.0,0.0,0.0,-0.0394912958145141,0.0042888522148131665,0.005795867346569071,-0.7085242190368722
Hard,BL_CLAHE_c0.005,CLAHE,Baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",3,0.6651948293050131,0.09530969970406689,0.20247672498226157,0.03294508361078151,0.3636118570963542,2.2295479187264813,0.22174232535369187,0.3333333333333333,29.774102486996043,0.005775766641211933,0.012854675451914432,0.009196798006693466,0.05918891578445266,0.17814085372097446,-0.026636620362599634,0.013485650221506698,0.0649847831310217,-0.5303833653158977
