Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7460336089134216,reference only
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,23.632663298828234,,0.00433245110546405,0.9287451863212586,0.772244930267334,blur removes high-frequency ridge detail
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,23.632663298828234,19.01245489726224,-4.620208401565993,0.012553201795870848,0.8357783379377127,0.8138676285743713,low contrast can bury weak ridges
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,19.01245489726224,18.55306502210279,-0.4593898751594523,0.013953832253566322,0.7118131101307794,0.6366580724716187,noise can obscure ridge/valley boundaries
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.55306502210279,18.430264198095784,-0.12280082400700465,0.014354021096470196,0.7067565570136993,0.6281397342681885,local clipping to 0/1 at impulse pixels
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(127,111); radii=(3,8); rotation=0.3569; patch_blur_sigma=3.7000",18.430264198095784,18.416574757085808,-0.013689441009976377,0.014399337938248978,0.7061618986973255,0.6278500556945801,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,445__M_Left_ring_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.005188,18.416574757085808,18.416574757085808,0.0,0.014399337938248978,0.7061618986973255,0.6278500556945801,saturation is irreversible where clipping occurs
Independent component,445__M_Left_ring_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.428881330475466,,0.0011405435345546746,0.9016140945798159,0.6735100746154785,recoverable only statistically
Independent component,445__M_Left_ring_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,33.27781454767972,,0.00047013062775103087,0.9885191180722713,0.7378255128860474,pixel clipping at impulses
Independent component,445__M_Left_ring_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,23.632663298828234,,0.00433245110546405,0.9287451863212586,0.772244930267334,high-frequency detail loss
Independent component,445__M_Left_ring_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,22.345071627646654,,0.005827641632605247,0.940338518882215,0.7955554723739624,low contrast
Independent component,445__M_Left_ring_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,40.93805302933934,,8.057395785832089e-05,0.9991722824392318,0.7457998991012573,localized overwritten ridge detail
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6925563812255859,reference only
