Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.238109708762446,15.135350703809378,-0.102759004953068,0.030652431432729776,0.4585365208413217,0.4865036606788635,local clipping to 0/1 at impulse pixels
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(108,149); radii=(4,14); rotation=-0.3560; patch_blur_sigma=4.1000",15.135350703809378,15.116570389401645,-0.0187803144077332,0.030785269586528136,0.45705769311734173,0.48607102036476135,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.004654,15.116570389401645,15.116570389401645,0.0,0.030785269586528136,0.45705769311734173,0.48607102036476135,saturation is irreversible where clipping occurs
Independent component,471__M_Left_little_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.84399696672349,,0.0016428590455716085,0.7745808187015653,0.5701709389686584,recoverable only statistically
Independent component,471__M_Left_little_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,31.19538017546558,,0.0007593849442359968,0.9753974779795259,0.6128506064414978,pixel clipping at impulses
Independent component,471__M_Left_little_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,21.50107097860568,,0.007077712251064641,0.8896893084543943,0.6525552868843079,high-frequency detail loss
Independent component,471__M_Left_little_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,17.53301283271923,,0.01764813091479194,0.9029166273410096,0.8811805248260498,low contrast
Independent component,471__M_Left_little_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,37.15665374533599,,0.00019245740490241026,0.9983449127961397,0.6049571633338928,localized overwritten ridge detail
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.5953795909881592,reference only
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,19.486488021321623,,0.011255147681799393,0.7702671813671663,0.637662410736084,blur removes high-frequency ridge detail
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,19.486488021321623,13.951943178430408,-5.534544842891215,0.040253688559144546,0.5817321537818485,0.7831052541732788,low contrast can bury weak ridges
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.951943178430408,13.582075392660919,-0.36986778576948964,0.04383211841843543,0.3058515422467615,0.3206543028354645,noise can obscure ridge/valley boundaries
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,13.582075392660919,13.487761724617338,-0.09431366804358099,0.04479441070041563,0.29850383722572693,0.3059280216693878,local clipping to 0/1 at impulse pixels
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(113,124); radii=(6,19); rotation=-0.3205; patch_blur_sigma=4.5000",13.487761724617338,13.482514646072946,-0.005247078544391215,0.044848563318974695,0.29702657738757515,0.3059859275817871,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,516__M_Right_little_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.002258,13.482514646072946,13.482514646072946,0.0,0.044848563318974695,0.29702657738757515,0.3059859275817871,saturation is irreversible where clipping occurs
Independent component,516__M_Right_little_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.99548629699825,,0.0025144984387281705,0.7341001421386302,0.5120915770530701,recoverable only statistically
Independent component,516__M_Right_little_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.183079253910673,,0.0009587206341400633,0.9739565005758405,0.5885015726089478,pixel clipping at impulses
Independent component,516__M_Right_little_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,19.486488021321623,,0.011255147681799393,0.7702671813671663,0.637662410736084,high-frequency detail loss
Independent component,516__M_Right_little_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,15.560204221150613,,0.02779582558547297,0.8108185676182155,0.7660630345344543,low contrast
Independent component,516__M_Right_little_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,44.21161996924348,,3.7917352243035246e-05,0.9957867687987685,0.5954776406288147,localized overwritten ridge detail
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6769043803215027,reference only
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,27.626800231828742,,0.0017271099127552868,0.9381036339253187,0.7185084819793701,blur removes high-frequency ridge detail
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,27.626800231828742,20.111717915081112,-7.51508231674763,0.009746040426337048,0.8601281693163626,0.8101487159729004,low contrast can bury weak ridges
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,20.111717915081112,19.5337166349945,-0.5780012800866103,0.011133413429234901,0.6761259394507092,0.5406938791275024,noise can obscure ridge/valley boundaries
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,19.5337166349945,19.358151012478743,-0.1755656225157587,0.011592708049827616,0.6671084350337936,0.5294060707092285,local clipping to 0/1 at impulse pixels
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(140,139); radii=(3,8); rotation=0.1778; patch_blur_sigma=3.7000",19.358151012478743,19.354044604952506,-0.0041064075262369215,0.011603674548016493,0.6664696059230519,0.5289819240570068,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,455__M_Left_little_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.002579,19.354044604952506,19.354044604952506,0.0,0.011603674548016493,0.6664696059230519,0.5289819240570068,saturation is irreversible where clipping occurs
Independent component,455__M_Left_little_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.483153968347953,,0.0011263791509388203,0.8607412139754296,0.5870068669319153,recoverable only statistically
Independent component,455__M_Left_little_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,34.94142092387692,,0.00032052204694965614,0.990003495854795,0.6678048372268677,pixel clipping at impulses
Independent component,455__M_Left_little_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,27.626800231828742,,0.0017271099127552868,0.9381036339253187,0.7185084819793701,high-frequency detail loss
Independent component,455__M_Left_little_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,21.57549154987072,,0.006957462032254484,0.9468687433234453,0.7824490070343018,low contrast
Independent component,455__M_Left_little_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,43.35096018765988,,4.622788042416004e-05,0.9990061530056,0.6766201853752136,localized overwritten ridge detail
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6430606842041016,reference only
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,21.350769256015425,,0.007326947410782812,0.8404078508999944,0.6812862157821655,blur removes high-frequency ridge detail
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,21.350769256015425,15.53775562437393,-5.813013631641496,0.027939873633995325,0.715052200409513,0.8326320648193359,low contrast can bury weak ridges
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.53775562437393,15.190591628837932,-0.34716399553599686,0.03026501107112819,0.453628968496121,0.4446461796760559,noise can obscure ridge/valley boundaries
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.190591628837932,15.10883302973432,-0.08175859910361183,0.03084016529071595,0.44678515918416506,0.432151734828949,local clipping to 0/1 at impulse pixels
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(149,115); radii=(4,14); rotation=-0.6955; patch_blur_sigma=4.1000",15.10883302973432,15.09952029656597,-0.009312733168350462,0.03090636792412731,0.44553192054988794,0.43197768926620483,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,466__F_Left_little_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.002075,15.09952029656597,15.09952029656597,0.0,0.03090636792412731,0.44553192054988794,0.43197768926620483,saturation is irreversible where clipping occurs
Independent component,466__F_Left_little_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.546343837829383,,0.0017594041669648462,0.7922016172436476,0.5632221698760986,recoverable only statistically
Independent component,466__F_Left_little_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,30.664928237927565,,0.0008580392926990036,0.9732149771463275,0.6378833055496216,pixel clipping at impulses
Independent component,466__F_Left_little_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,21.350769256015425,,0.007326947410782812,0.8404078508999944,0.6812862157821655,high-frequency detail loss
Independent component,466__F_Left_little_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,17.29897686717435,,0.018625258682113094,0.9051850376516208,0.8174158334732056,low contrast
Independent component,466__F_Left_little_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,38.11546804268909,,0.00015433100905803444,0.9979538633129597,0.6424373388290405,localized overwritten ridge detail
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6353442072868347,reference only
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,19.536954364598962,,0.011125116397999344,0.7957004295279533,0.7033395767211914,blur removes high-frequency ridge detail
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,19.536954364598962,13.200248658823664,-6.336705705775298,0.04786026887534972,0.6054717760589058,0.7908903956413269,low contrast can bury weak ridges
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.200248658823664,12.89343604497606,-0.3068126138476046,0.051363711209275256,0.37601221600020956,0.3764415979385376,noise can obscure ridge/valley boundaries
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,12.89343604497606,12.829159410664987,-0.06427663431107256,0.052129559958867866,0.36926017605973704,0.3638109266757965,local clipping to 0/1 at impulse pixels
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(121,154); radii=(6,19); rotation=-0.1298; patch_blur_sigma=4.5000",12.829159410664987,12.812392992071155,-0.0167664185938321,0.052331200866164815,0.3671201100462844,0.36429160833358765,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,371__M_Right_index_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000504,12.812392992071155,12.812392992071155,0.0,0.052331200866164815,0.3671201100462844,0.36429160833358765,saturation is irreversible where clipping occurs
Independent component,371__M_Right_index_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.79387048490311,,0.002633982902090739,0.7820961126648038,0.5423990488052368,recoverable only statistically
Independent component,371__M_Right_index_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.80830865414658,,0.0008301740131588956,0.9787180660083592,0.6284496784210205,pixel clipping at impulses
Independent component,371__M_Right_index_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,19.536954364598962,,0.011125116397999344,0.7957004295279533,0.7033395767211914,high-frequency detail loss
Independent component,371__M_Right_index_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,14.658216488885277,,0.03421199115773615,0.8398575725349132,0.744642972946167,low contrast
Independent component,371__M_Right_index_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,33.96022522962313,,0.0004017699741010357,0.9955155252276157,0.6346161365509033,localized overwritten ridge detail
Not present in current pipeline,ALL,,,Brightness/gamma only,not an explicit current degradation stage,,,,,,,not applicable
Not present in current pipeline,ALL,,,Resizing/downsampling,not in simulate_degradation; loading uses fixed 256x256 alignment,,,,,,,not applicable
