Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Hybrid ID,Stage order,Stage,Stage family,Output domain,Stage note,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Foreground/background separation proxy vs previous stage,Delta Ridge coverage in foreground vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Small connected components <20px vs previous stage,Delta Ridge continuity proxy vs previous stage
Easy,4,40__F_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\40__F_Left_index_finger_CR.BMP,data\SOCOFing\Real\40__F_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.6760505437850952,0.20546554028987885,0.20546554028987885,1.0,0.3878631591796875,185.0,103.0,25419.0,49.0,1.0,0.30610960721969604,1.9276918840237618,4622.0,185.0,103.0,24.983783783783785,,,,,,,
Easy,4,40__F_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\40__F_Left_index_finger_CR.BMP,data\SOCOFing\Real\40__F_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.005679299996700138,0.7211593389511108,0.2274981588125229,0.2274981588125229,1.0,0.38458251953125,194.0,89.0,25204.0,56.0,0.0,0.3747817873954773,2.221869544516743,4718.0,194.0,89.0,24.31958762886598,0.045108795166015625,0.022032618522644043,0.022032618522644043,-0.0032806396484375,0.29417766049298133,-1.0,-0.664196154917807
Easy,4,40__F_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\40__F_Left_index_finger_CR.BMP,data\SOCOFing\Real\40__F_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,1.0644786999910139,0.7437410354614258,0.16675201058387756,0.16675201058387756,1.0,0.3421630859375,204.0,71.0,22424.0,70.0,0.0,0.3411969244480133,3.121655369247235,4425.0,204.0,71.0,21.691176470588236,0.02258169651031494,-0.060746148228645325,-0.060746148228645325,-0.04241943359375,0.899785824730492,0.0,-2.6284111582777427
Easy,4,40__F_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\40__F_Left_index_finger_CR.BMP,data\SOCOFing\Real\40__F_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.7437410354614258,0.16675201058387756,0.16675201058387756,1.0,0.3491973876953125,177.0,72.0,22885.0,59.0,0.0,0.35040420293807983,2.5781079309591433,4391.0,177.0,72.0,24.807909604519775,0.0,0.0,0.0,0.0070343017578125,-0.5435474382880918,0.0,3.1167331339315396
Easy,4,40__F_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\40__F_Left_index_finger_CR.BMP,data\SOCOFing\Real\40__F_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.7437410354614258,0.16675201058387756,0.16675201058387756,1.0,0.074981689453125,365.0,254.0,4914.0,59.0,23.0,0.2765567898750305,12.006512006512008,4914.0,365.0,254.0,13.463013698630137,0.0,0.0,0.0,-0.2742156982421875,9.428404075552864,23.0,-11.344895905889638
Easy,5,487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Real\487__M_Right_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.6666898131370544,0.18614163994789124,0.18614163994789124,1.0,0.44537353515625,143.0,191.0,29188.0,27.0,1.0,0.7895367741584778,0.9250376867205702,6179.0,143.0,191.0,43.20979020979021,,,,,,,
Easy,5,487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Real\487__M_Right_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.006611099990550429,0.7339346408843994,0.22999583184719086,0.22999583184719086,1.0,0.404937744140625,159.0,155.0,26538.0,29.0,0.0,0.7803903818130493,1.0927726279297612,6131.0,159.0,155.0,38.55974842767296,0.06724482774734497,0.04385419189929962,0.04385419189929962,-0.040435791015625,0.16773494120919097,-1.0,-4.650041782117249
Easy,5,487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Real\487__M_Right_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,1.038569100026507,0.7640490531921387,0.16622424125671387,0.16622424125671387,1.0,0.3472900390625,209.0,134.0,22760.0,46.0,1.0,0.6958699226379395,2.0210896309314585,5721.0,209.0,134.0,27.373205741626794,0.030114412307739258,-0.06377159059047699,-0.06377159059047699,-0.057647705078125,0.9283170030016974,1.0,-11.186542686046163
Easy,5,487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Real\487__M_Right_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.7640490531921387,0.16622424125671387,0.16622424125671387,1.0,0.3602294921875,176.0,150.0,23608.0,35.0,1.0,0.7092511057853699,1.4825482887156896,5697.0,176.0,150.0,32.36931818181818,0.0,0.0,0.0,0.012939453125,-0.538541342215769,0.0,4.996112440191386
Easy,5,487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\487__M_Right_index_finger_Zcut.BMP,data\SOCOFing\Real\487__M_Right_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.7640490531921387,0.16622424125671387,0.16622424125671387,1.0,0.093536376953125,427.0,411.0,6130.0,35.0,10.0,0.7070146799087524,5.709624796084829,6130.0,427.0,411.0,14.355971896955504,0.0,0.0,0.0,-0.266693115234375,4.227076507369139,9.0,-18.013346284862678
