Image,Quality band,Severity,Pipeline ID,Pipeline,Selected common preprocessing,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs degraded (dB),Delta SSIM vs degraded,Delta coherence vs degraded
195__M_Right_index_finger.BMP,Medium quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.02762100236300545,15.587605649745068,0.5752301821874771,0.6629620790481567,4.00003045797348e-07,0.019037394861024737,0.03579804075566473,0.13305550813674927
195__M_Right_index_finger.BMP,Medium quality,0.55,P2,P0 + mild bilateral filtering,False,0.028930180511707572,15.386488565354274,0.5240146776975613,0.5283299088478088,7.00005330145359e-07,-0.18207968952977005,-0.015417463734251124,-0.0015766620635986328
195__M_Right_index_finger.BMP,Medium quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.027087068265289234,15.672379977393812,0.57245994774167,0.5976595878601074,2.00001522898674e-07,0.10381172250976789,0.03302780630985758,0.06775301694869995
183__M_Left_ring_finger.BMP,Medium quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.05116287396425381,12.910450679510072,0.32278156574308914,0.3605555295944214,3.00002284348011e-07,0.0,0.0,0.0
183__M_Left_ring_finger.BMP,Medium quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.04991230971907356,13.017923324572882,0.39483413332016765,0.5409575700759888,2.00001522898674e-07,0.10747264506280985,0.07205256757707851,0.18040204048156738
183__M_Left_ring_finger.BMP,Medium quality,0.75,P2,P0 + mild bilateral filtering,False,0.05258395965262752,12.79146713959241,0.30772561886596356,0.34933173656463623,3.00002284348011e-07,-0.11898353991766264,-0.015055946877125581,-0.011223793029785156
183__M_Left_ring_finger.BMP,Medium quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.04943549465946353,13.05961115866075,0.37541056230567477,0.4464031755924225,2.00001522898674e-07,0.14916047915067843,0.05262899656258563,0.0858476459980011
494__F_Left_thumb_finger.BMP,Medium quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.013553076706866908,18.679621036724463,0.7133231194557166,0.6164482831954956,8.999486453831196e-07,0.0,0.0,0.0
494__F_Left_thumb_finger.BMP,Medium quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.014610752703871849,18.35327409889279,0.7449766491994188,0.6945193409919739,7.00005330145359e-07,-0.3263469378316728,0.03165352974370217,0.07807105779647827
494__F_Left_thumb_finger.BMP,Medium quality,0.35,P2,P0 + mild bilateral filtering,False,0.014124364874528178,18.500310718405057,0.7346868545439486,0.6308535933494568,3.00002284348011e-07,-0.17931031831940558,0.021363735088231972,0.014405310153961182
494__F_Left_thumb_finger.BMP,Medium quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.013961170967262942,18.55078154542831,0.742997410167016,0.6562731266021729,2.00001522898674e-07,-0.12883949129615146,0.029674290711299456,0.039824843406677246
159__M_Right_thumb_finger.BMP,Lower quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.02976756429694738,15.26256699638508,0.3952516253058921,0.37059158086776733,2.00001522898674e-07,0.0,0.0,0.0
159__M_Right_thumb_finger.BMP,Lower quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.028379147372169497,15.47000656698291,0.5700741132259779,0.5010968446731567,2.00001522898674e-07,0.20743957059782936,0.1748224879200858,0.1305052638053894
159__M_Right_thumb_finger.BMP,Lower quality,0.55,P2,P0 + mild bilateral filtering,False,0.029635157459907892,15.281927608903773,0.45002379890631805,0.37616923451423645,2.00001522898674e-07,0.019360612518692477,0.054772173600425966,0.005577653646469116
159__M_Right_thumb_finger.BMP,Lower quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.02840286862594251,15.466377949704826,0.509707112266121,0.4286426603794098,5.00003807246685e-07,0.20381095331974564,0.11445548696022889,0.058051079511642456
493__M_Left_little_finger.BMP,Lower quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.044177192527388644,13.54801887120194,0.31363286437437116,0.28244054317474365,8.00006091594696e-07,0.0,0.0,0.0
493__M_Left_little_finger.BMP,Lower quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.04157064117326299,13.812132770126059,0.46732646858390947,0.44405174255371094,3.00002284348011e-07,0.2641138989241192,0.15369360420953831,0.16161119937896729
493__M_Left_little_finger.BMP,Lower quality,0.75,P2,P0 + mild bilateral filtering,False,0.04398702176327935,13.566754418776469,0.3333651567005607,0.2904444932937622,4.00003045797348e-07,0.01873554757452922,0.01973229232618956,0.008003950119018555
493__M_Left_little_finger.BMP,Lower quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.04187210558629433,13.780751995693265,0.4123305142850771,0.34976625442504883,5.00003807246685e-07,0.23273312449132533,0.09869764991070595,0.06732571125030518
543__M_Right_middle_finger.BMP,Lower quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.013593711746510157,18.666619434933,0.622298704735867,0.4842648506164551,8.999486453831196e-07,0.0,0.0,0.0
543__M_Right_middle_finger.BMP,Lower quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.01341478456834606,18.724162973885974,0.7617409778734167,0.5880113244056702,3.00002284348011e-07,0.057543538952973705,0.13944227313754964,0.10374647378921509
543__M_Right_middle_finger.BMP,Lower quality,0.35,P2,P0 + mild bilateral filtering,False,0.013715355808157541,18.62792921306623,0.7012997592232011,0.4877468943595886,4.00003045797348e-07,-0.03869022186676929,0.07900105448733408,0.003482043743133545
543__M_Right_middle_finger.BMP,Lower quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.013250718225651607,18.777605811246374,0.7260753877648805,0.5294198393821716,1.200009137392044e-06,0.11098637631337382,0.10377668302901344,0.04515498876571655
471__M_Left_little_finger.BMP,Lower quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.030785269586528136,15.116570389401645,0.45705769311734173,0.48607102036476135,5.00003807246685e-07,0.0,0.0,0.0
471__M_Left_little_finger.BMP,Lower quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.030611138978276137,15.141205108868954,0.6155825861518038,0.6043567657470703,2.00001522898674e-07,0.02463471946730955,0.1585248930344621,0.11828574538230896
471__M_Left_little_finger.BMP,Lower quality,0.55,P2,P0 + mild bilateral filtering,False,0.03130370566070418,15.044042486281072,0.5134604038553475,0.4946417808532715,3.00002284348011e-07,-0.072527903120573,0.05640271073800579,0.008570760488510132
471__M_Left_little_finger.BMP,Lower quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.03009456369658973,15.21511948585646,0.558618849999764,0.542138934135437,3.00002284348011e-07,0.09854909645481591,0.10156115688242223,0.05606791377067566
516__M_Right_little_finger.BMP,Lower quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.044848563318974695,13.482514646072946,0.29702657738757515,0.3059859275817871,6.00004568696022e-07,0.0,0.0,0.0
516__M_Right_little_finger.BMP,Lower quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.04281903837204628,13.683630902971496,0.43341070139931887,0.4604548513889313,4.199973773211241e-06,0.2011162568985494,0.1363841240117437,0.15446892380714417
516__M_Right_little_finger.BMP,Lower quality,0.75,P2,P0 + mild bilateral filtering,False,0.04530180610820343,13.438844830381562,0.312598254618171,0.3069194257259369,4.999455995857716e-07,-0.04366981569138417,0.015571677230595826,0.0009334981441497803
516__M_Right_little_finger.BMP,Lower quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.042772240945799476,13.688379953616245,0.3823309977058419,0.3720269203186035,2.00001522898674e-07,0.20586530754329857,0.08530442031826674,0.0660409927368164
455__M_Left_little_finger.BMP,Lower quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.011603674548016493,19.354044604952506,0.6664696059230519,0.5289819240570068,6.00004568696022e-07,0.0,0.0,0.0
455__M_Left_little_finger.BMP,Lower quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.011486801543137243,19.398008821506288,0.7482763301958367,0.6289626359939575,3.00002284348011e-07,0.04396421655378191,0.08180672427278479,0.09998071193695068
455__M_Left_little_finger.BMP,Lower quality,0.35,P2,P0 + mild bilateral filtering,False,0.011856422300265712,19.260463404537433,0.7046886903670109,0.5371558666229248,3.00002284348011e-07,-0.09358120041507334,0.03821908444395894,0.008173942565917969
455__M_Left_little_finger.BMP,Lower quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.01122019697050446,19.49999518975372,0.7366725082349889,0.5796031951904297,4.00003045797348e-07,0.1459505848012128,0.07020290231193693,0.05062127113342285
466__F_Left_little_finger.BMP,Lower quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.03090636792412731,15.09952029656597,0.44553192054988794,0.43197768926620483,5.00003807246685e-07,0.0,0.0,0.0
466__F_Left_little_finger.BMP,Lower quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.030682938158246346,15.131030552570818,0.5706736768528383,0.5569450855255127,3.00002284348011e-07,0.03151025600484836,0.12514175630295038,0.12496739625930786
466__F_Left_little_finger.BMP,Lower quality,0.55,P2,P0 + mild bilateral filtering,False,0.03134584710452512,15.03819989093494,0.48452930076654976,0.4390188753604889,1.9994331523776054e-07,-0.06132040563102947,0.038997380216661826,0.007041186094284058
466__F_Left_little_finger.BMP,Lower quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.030097670618854235,15.214671149219113,0.5347292321549761,0.49220526218414307,9.00006853044033e-07,0.11515085265314262,0.0891973116050882,0.06022757291793823
371__M_Right_index_finger.BMP,Lower quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.052331200866164815,12.812392992071155,0.3671201100462844,0.36429160833358765,4.00003045797348e-07,0.0,0.0,0.0
371__M_Right_index_finger.BMP,Lower quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.05081861874742007,12.939771432708081,0.4752525947738485,0.5300137996673584,3.00002284348011e-07,0.12737844063692627,0.1081324847275641,0.16572219133377075
371__M_Right_index_finger.BMP,Lower quality,0.75,P2,P0 + mild bilateral filtering,False,0.05328633598625626,12.73384141190079,0.36936064374701283,0.36324286460876465,3.00002284348011e-07,-0.07855158017036423,0.0022405337007284087,-0.001048743724822998
371__M_Right_index_finger.BMP,Lower quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.05046952796586632,12.969707571402632,0.4390265378208247,0.4441814422607422,3.00002284348011e-07,0.15731457933147652,0.07190642777454026,0.07988983392715454
