Experiment,Split,Scenario ID,Scenario,Image,Relative path,Seed,Method ID,Member,Technique,Role,Is member technique,Is baseline,Fixed parameters,Degradation parameters,Runtime (s),Input MSE,Input PSNR (dB),Input SSIM,MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs degraded input (dB),PSNR delta to 28.17 dB,Target exceeded
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}","{""gaussian_noise_sigma"": 0.04825}",0.007105899974703789,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.003900432181970211,253.62560263261298,24.088872689104605,0.8339861051501631,-3.2258222627912474,-4.081127310895397,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,BL_ORD_GABOR,Baseline,Ordinary Gabor,M2 ordinary Gabor comparator,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}","{""gaussian_noise_sigma"": 0.04825}",0.9006993999937549,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.012652333005298036,822.7179536695048,18.97829386116087,0.7887439281072579,-8.33640109073498,-9.19170613883913,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,BL_WIENER,Baseline,Wiener Deconvolution,M3 restoration comparator,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}","{""gaussian_noise_sigma"": 0.04825}",0.0018845000304281712,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0014616912702596,95.0464748486305,28.35144346790887,0.8720876811407209,1.0367485160130165,0.181443467908867,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,BL_CONTRAST_1_99,Baseline,Contrast Stretching,Global contrast baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}","{""gaussian_noise_sigma"": 0.04825}",0.000943099963478744,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,0.0,-0.8553050481041495,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}","{""gaussian_noise_sigma"": 0.04825}",0.00010699999984353781,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0018068565174811926,117.49084504921454,27.430763334049047,0.8332492087816,0.0,-0.7392366659509548,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}","{""gaussian_noise_sigma"": 0.04825}",0.0888179000467062,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0010697456180278188,69.56020881225892,29.707194838299948,0.9446846299544572,2.276431504250901,1.5371948382999463,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}","{""gaussian_noise_sigma"": 0.04825}",1.9302221999969333,0.0018068565174811926,27.430763334049047,0.8332492087816,0.003304817340755601,214.89574758263296,24.80852539232538,0.8157965193016454,-2.622237941723668,-3.361474607674623,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}","{""gaussian_noise_sigma"": 0.04825}",0.006557899992913008,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0012069149457272232,78.47964434591269,29.183233346274857,0.9367944357494116,1.7524700122258103,1.0132333462748555,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}","{""gaussian_noise_sigma"": 0.04825}",0.31202219997067004,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0015577423478899883,101.2921961715465,28.07504373456167,0.8532690296037198,0.6442804005126241,-0.09495626543833069,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905,BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}","{""gaussian_noise_sigma"": 0.04825}",0.006081900093704462,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0036671504078645174,238.45645527139027,24.35671277122571,0.8312706385408938,-3.074050562823338,-3.8132872287742927,False
