Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Experiment,Pipeline ID,Pipeline,Purpose,Final output domain,Has Closing stage,Is baseline,Is grayscale finalist candidate,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs CLAHE,Delta Local contrast vs CLAHE,Delta Foreground/background separation proxy vs CLAHE,Delta Ridge coverage in foreground vs CLAHE,Delta Fragmentation per 1000 ridge pixels vs CLAHE,Delta Small connected components <20px vs CLAHE,Delta Ridge continuity proxy vs CLAHE
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,0.009883600054308772,0.8024064302444458,0.22378186881542206,0.22378186881542206,1.0,0.4232177734375,148.0,74.0,27736.0,44.0,1.0,0.7217335104942322,1.586385924430343,5814.0,148.0,74.0,39.28378378378378,0.044571876525878906,0.00892813503742218,0.00892813503742218,-0.00628662109375,0.023219802503385623,1.0,-1.7233084147977777,0.020976781845092773,-0.022136345505714417,-0.022136345505714417,-0.0030364990234375,-0.024496481154049343,0.0,2.399637442320369
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,0.010053099947981536,0.8038166761398315,0.23599834740161896,0.23599834740161896,1.0,0.4226226806640625,147.0,66.0,27697.0,44.0,0.0,0.7083077430725098,1.5886197061053544,5754.0,147.0,66.0,39.142857142857146,0.04598212242126465,0.02114461362361908,0.02114461362361908,-0.0068817138671875,0.025453584178396937,0.0,-1.8642350557244143,0.022387027740478516,-0.009919866919517517,-0.009919866919517517,-0.003631591796875,-0.02226269947903803,-1.0,2.2587108013937325
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,0.33509910001885146,0.791003406047821,0.22320953011512756,0.22320953011512756,1.0,0.42901611328125,139.0,127.0,28116.0,24.0,0.0,0.832515299320221,0.8536064874093043,6038.0,139.0,127.0,43.43884892086331,0.03316885232925415,0.008355796337127686,0.008355796337127686,-0.00048828125,-0.7095596345176531,0.0,2.4317567222817473,0.009573757648468018,-0.02270868420600891,-0.02270868420600891,0.0027618408203125,-0.7572759181750881,-1.0,6.554702579399894
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,0.06419299996923655,0.8024064302444458,0.22378186881542206,0.22378186881542206,1.0,0.4296112060546875,141.0,115.0,28155.0,29.0,1.0,0.7935357689857483,1.0300124311845142,5879.0,141.0,115.0,41.695035460992905,0.044571876525878906,0.00892813503742218,0.00892813503742218,0.0001068115234375,-0.5331536907424432,1.0,0.6879432624113448,0.020976781845092773,-0.022136345505714417,-0.022136345505714417,0.00335693359375,-0.5808699743998782,0.0,4.810889119529492
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,0.00012379995314404368,0.6662470698356628,0.20458516478538513,0.20458516478538513,1.0,0.3150482177734375,338.0,35.0,20647.0,148.0,11.0,0.3815082013607025,7.16811159006151,4164.0,338.0,35.0,12.319526627218934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03969985246658325,-0.04315759241580963,-0.04315759241580963,-0.1065826416015625,2.6805609241668957,10.0,-4.265137909522281
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,0.00487010000506416,0.7059469223022461,0.24774275720119476,0.24774275720119476,1.0,0.421630859375,313.0,53.0,27632.0,124.0,1.0,0.4149898588657379,4.487550665894615,5191.0,313.0,53.0,16.584664536741215,0.03969985246658325,0.04315759241580963,0.04315759241580963,0.1065826416015625,-2.6805609241668957,-10.0,4.265137909522281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,0.872417799953837,0.7162551879882812,0.17910686135292053,0.17910686135292053,1.0,0.3766937255859375,336.0,45.0,24687.0,141.0,2.0,0.3475513458251953,5.711508081176327,4946.0,336.0,45.0,14.720238095238095,0.05000811815261841,-0.0254783034324646,-0.0254783034324646,0.0616455078125,-1.4566035088851832,-9.0,2.4007114680191606,0.010308265686035156,-0.06863589584827423,-0.06863589584827423,-0.0449371337890625,1.2239574152817125,1.0,-1.8644264415031202
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,0.2805208000354469,0.7159686088562012,0.23140491545200348,0.23140491545200348,1.0,0.4141082763671875,307.0,46.0,27139.0,125.0,2.0,0.4136851131916046,4.605917683039169,5120.0,307.0,46.0,16.677524429967427,0.04972153902053833,0.026819750666618347,0.026819750666618347,0.09906005859375,-2.5621939070223414,-9.0,4.357997802748493,0.010021686553955078,-0.016337841749191284,-0.016337841749191284,-0.0075225830078125,0.11836701714455433,1.0,0.09285989322621191
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,0.010192799963988364,0.7374255061149597,0.22667106986045837,0.22667106986045837,1.0,0.4174346923828125,295.0,36.0,27357.0,124.0,0.0,0.4161275029182434,4.532660744964725,4965.0,295.0,36.0,16.83050847457627,0.07117843627929688,0.022085905075073242,0.022085905075073242,0.102386474609375,-2.635450845096785,-11.0,4.5109818473573355,0.03147858381271362,-0.02107168734073639,-0.02107168734073639,-0.0041961669921875,0.045110079070110665,-1.0,0.24584393783505476
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,0.010877200053073466,0.7433934211730957,0.23848797380924225,0.23848797380924225,1.0,0.4157257080078125,285.0,38.0,27245.0,120.0,1.0,0.4002569317817688,4.404477885850615,4929.0,285.0,38.0,17.294736842105262,0.07714635133743286,0.03390280902385712,0.03390280902385712,0.100677490234375,-2.7636337042108954,-10.0,4.975210214886328,0.03744649887084961,-0.009254783391952515,-0.009254783391952515,-0.0059051513671875,-0.08307278004399965,0.0,0.7100723053640472
